Sample_Name	Nuclide_and_Mineral	St_Age_yr	St_Interr_yr	St_Exterr_yr	Lm_Age_yr	Lm_Interr_yr	Lm_Exterr_yr	LSDn_Age_yr	LSDn_Interr_yr	LSDn_Exterr_yr	Ag_Age_yr	Ag_Interr_yr	Ag_Exterr_yr
UpLy-12-10--136	Be-10 (qtz)	14811	234	1207	14555	230	1128	14191	225	876	--	--	--
													
UpLy-12-10--137	Be-10 (qtz)	14970	236	1215	14709	232	1135	14344	226	882	--	--	--
													
UpLy-12-10--138	Be-10 (qtz)	15045	240	1237	14776	236	1156	14403	230	897	--	--	--
													
UpLy-12-10--139	Be-10 (qtz)	15108	244	1256	14826	239	1172	14452	233	910	--	--	--
													
UpLy-12-10--140	Be-10 (qtz)	14410	227	1167	14178	223	1092	13802	217	847	--	--	--
													
UpLy-12-10--141	Be-10 (qtz)	14674	230	1186	14429	227	1109	14076	221	862	--	--	--
													
UpLy-12-10--142	Be-10 (qtz)	14625	230	1182	14383	226	1106	14031	220	859	--	--	--
													
UpLy-12-10--143	Be-10 (qtz)	15483	253	1303	15136	247	1211	14788	241	942	--	--	--
													
UpLy-12-10--144	Be-10 (qtz)	14540	233	1200	14299	229	1123	13942	223	872	--	--	--
													
UpLy-12-10--145	Be-10 (qtz)	14869	235	1211	14611	231	1132	14245	225	879	--	--	--
													
UpLy-12-10--146	Be-10 (qtz)	14731	238	1224	14477	234	1144	14108	227	887	--	--	--
													
UpLy-12-10--147	Be-10 (qtz)	15184	249	1282	14886	244	1194	14510	237	926	--	--	--
													
UpLy-12-10--148	Be-10 (qtz)	14584	229	1180	14345	225	1104	13999	220	858	--	--	--
													
UpLy-12-10--149	Be-10 (qtz)	14834	236	1212	14577	231	1133	14215	226	880	--	--	--
													
UpLy-12-10--150	Be-10 (qtz)	14746	234	1207	14494	230	1128	14128	224	876	--	--	--
													
UpLy-12-10--151	Be-10 (qtz)	15179	246	1269	14884	241	1182	14513	235	918	--	--	--
													
UpLy-12-10--152	Be-10 (qtz)	15324	255	1311	15000	249	1219	14642	243	947	--	--	--
													
UpLy-12-10--153	Be-10 (qtz)	14479	229	1179	14243	225	1104	13883	220	857	--	--	--
													
UpLy-12-10--154	Be-10 (qtz)	14783	238	1225	14526	234	1144	14155	228	888	--	--	--
													
UpLy-12-10--155	Be-10 (qtz)	15189	244	1254	14894	239	1169	14535	233	908	--	--	--
													
UpLy-12-10--156	Be-10 (qtz)	15087	244	1256	14808	239	1172	14435	233	910	--	--	--
													
UpLy-12-10--157	Be-10 (qtz)	14555	233	1199	14314	229	1121	13966	223	871	--	--	--
													
UpLy-12-10--158	Be-10 (qtz)	14720	237	1222	14467	233	1142	14102	227	886	--	--	--
													
UpLy-12-10--159	Be-10 (qtz)	14804	238	1225	14546	234	1144	14179	228	888	--	--	--
													
UpLy-12-10--160	Be-10 (qtz)	14974	242	1245	14708	237	1163	14334	231	902	--	--	--
													
UpLy-12-10--161	Be-10 (qtz)	14428	237	1218	14187	233	1139	13792	226	881	--	--	--
													
UpLy-12-10--162	Be-10 (qtz)	14443	233	1200	14204	229	1123	13823	223	870	--	--	--
													
UpLy-12-10--163	Be-10 (qtz)	15125	238	1223	14846	233	1142	14484	227	887	--	--	--
													
UpLy-12-10--164	Be-10 (qtz)	14746	232	1192	14496	228	1115	14140	222	866	--	--	--
													
UpLy-12-10--165	Be-10 (qtz)	14478	235	1207	14237	231	1129	13868	224	875	--	--	--
													
UpLy-12-10--166	Be-10 (qtz)	14376	227	1169	14145	223	1094	13762	217	848	--	--	--
													
UpLy-12-10--167	Be-10 (qtz)	14978	235	1211	14718	231	1132	14352	225	879	--	--	--
													
UpLy-12-10--168	Be-10 (qtz)	14028	220	1135	13800	217	1062	13406	211	822	--	--	--
													
UpLy-12-10--169	Be-10 (qtz)	15067	246	1267	14791	241	1182	14412	235	916	--	--	--
													
UpLy-12-10--170	Be-10 (qtz)	15252	247	1271	14944	242	1184	14583	236	920	--	--	--
													
UpLy-12-10--171	Be-10 (qtz)	14132	225	1157	13910	221	1083	13513	215	838	--	--	--
													
UpLy-12-10--172	Be-10 (qtz)	14519	235	1211	14277	231	1132	13908	225	878	--	--	--
													
UpLy-12-10--173	Be-10 (qtz)	14748	236	1216	14494	232	1137	14130	226	882	--	--	--
													
UpLy-12-10--174	Be-10 (qtz)	14429	227	1170	14196	224	1095	13826	218	850	--	--	--
													
UpLy-12-10--175	Be-10 (qtz)	14828	239	1231	14567	235	1150	14192	229	892	--	--	--
													
UpLy-12-10--176	Be-10 (qtz)	14987	243	1250	14720	238	1167	14344	232	905	--	--	--
													
UpLy-12-10--177	Be-10 (qtz)	14545	230	1182	14306	226	1106	13961	220	860	--	--	--
													
UpLy-12-10--178	Be-10 (qtz)	14457	229	1177	14222	225	1101	13860	219	855	--	--	--
													
