Years_B1950	d18O_IceVolCorrected
40891	-11.754
40904	-11.798
40917	-11.816
40930	-11.837
40943	-11.743
40957	-11.695
40970	-11.577
40984	-11.488
40997	-11.696
41011	-11.435
41025	-11.236
41039	-11.344
41053	-11.173
41067	-11.357
41081	-11.564
41095	-11.603
41110	-11.534
41124	-11.555
41139	-11.487
41154	-11.415
41169	-11.655
41184	-11.793
41199	-11.863
41214	-11.783
41229	-11.948
41244	-11.92
41260	-11.849
41275	-11.926
41291	-11.815
41323	-11.585
41339	-11.418
41356	-11.387
41372	-11.27
41388	-11.155
41405	-11.109
41422	-11.006
41439	-11.083
41457	-11.053
41474	-11.123
41492	-11.182
41510	-11.118
41529	-11.1
41546	-11.137
41565	-11.204
41585	-11.108
41604	-11.096
41624	-10.965
41643	-10.928
41663	-10.942
41684	-10.947
41704	-10.996
41725	-11.041
41746	-10.887
41768	-10.854
41790	-10.8
41812	-10.736
41835	-10.706
41859	-10.614
41882	-10.623
41906	-10.559
41930	-10.615
41954	-10.682
41978	-10.658
42003	-10.793
42029	-10.766
42055	-10.65
42081	-10.704
42107	-10.746
42134	-10.772
42188	-10.751
42215	-10.695
42243	-10.736
42271	-10.665
42300	-10.707
42329	-10.726
42358	-10.679
42387	-10.838
42416	-10.847
42446	-10.981
42475	-11.168
42505	-11.147
42536	-11.15
42567	-11.191
42597	-11.213
42628	-11.363
42659	-11.421
42690	-11.405
42721	-11.377
42815	-11.785
42847	-11.853
42879	-11.813
42911	-11.826
42944	-11.832
43007	-11.811
43040	-11.636
43072	-11.635
43105	-11.664
43138	-11.667
43170	-11.572
43202	-11.672
43235	-11.649
43267	-11.571
43300	-11.4
43332	-11.204
43364	-10.925
43396	-10.77
43428	-10.737
43460	-10.642
43492	-10.675
43525	-10.672
43556	-10.781
43588	-10.821
43619	-10.872
43651	-10.837
43682	-10.701
43744	-10.744
43774	-10.923
43806	-11.123
43836	-11.252
43866	-11.315
43896	-11.486
43925	-11.584
43961	-11.71
43984	-11.753
44013	-11.74
44042	-11.723
44070	-11.632
44098	-11.673
44126	-11.65
44155	-11.624
44182	-11.539
44210	-11.568
44238	-11.52
44264	-11.524
44292	-11.381
44319	-11.352
44346	-11.283
44372	-11.227
44398	-11.178
44427	-11.138
44452	-11.008
44478	-11.045
44505	-11.051
44530	-11.035
44555	-10.922
