Date	Year	Month	SWE_Inches	SWE_Code	Snow_Depth_Inches	Snow_Depth_Code
1982-12-19	1982	12	10.2	_		_
1982-12-20	1982	12	10.2	_		_
1982-12-21	1982	12	10.5	_		_
1982-12-22	1982	12	10.9	_		_
1982-12-23	1982	12	11.2	_		_
1982-12-24	1982	12	11.5	_		_
1982-12-25	1982	12	11.8	_		_
1982-12-26	1982	12	12.2	_		_
1982-12-27	1982	12	12.5	_		_
1982-12-28	1982	12	12.8	_		_
1982-12-29	1982	12	13.1	_		_
1982-12-30	1982	12	13.5	_		_
1982-12-31	1982	12	13.8	_		_
1983-01-01	1983	1	13.8	_		_
1983-01-02	1983	1	13.8	_		_
1983-01-03	1983	1	13.8	_		_
1983-01-04	1983	1	13.8	_		_
1983-01-05	1983	1	13.8	_		_
1983-01-06	1983	1	13.8	_		_
1983-01-07	1983	1	13.8	_		_
1983-01-08	1983	1	17.9	_		_
1983-01-09	1983	1	17.7	_		_
1983-01-10	1983	1	17.5	_		_
1983-01-11	1983	1	17.3	_		_
1983-01-12	1983	1	17.1	_		_
1983-01-13	1983	1	16.5	_		_
1983-01-14	1983	1	16.5	_		_
1983-01-15	1983	1	16.6	_		_
1983-01-16	1983	1	16.6	_		_
1983-01-17	1983	1	16.7	_		_
1983-01-18	1983	1	16.7	_		_
1983-01-19	1983	1	17.7	_		_
1983-01-20	1983	1	17.9	_		_
1983-01-21	1983	1	18.1	_		_
1983-01-22	1983	1	18.5	_		_
1983-01-23	1983	1	21.5	_		_
1983-01-24	1983	1	21.9	_		_
1983-01-25	1983	1	23.6	_		_
1983-01-26	1983	1	23.8	_		_
1983-01-27	1983	1	24.6	_		_
1983-01-28	1983	1	24.6	_		_
1983-01-29	1983	1	27	_		_
1983-01-30	1983	1	28.2	_		_
1983-01-31	1983	1	28.2	_		_
1983-02-01	1983	2	28.2	_		_
1983-02-02	1983	2	28.2	_		_
1983-02-03	1983	2	28.2	_		_
1983-02-04	1983	2	28.2	_		_
1983-02-05	1983	2	28.4	_		_
1983-02-06	1983	2	28.7	_		_
1983-02-07	1983	2	30.5	_		_
1983-02-08	1983	2	32.9	_		_
1983-02-09	1983	2	32.9	_		_
1983-02-10	1983	2	32.9	_		_
1983-02-11	1983	2	32.9	_		_
