Depth_mm	d18O	Years_B1950
110.7	-7.98	14379
110.9	-7.80	14385
111.1	-7.80	14392
111.3	-7.78	14398
111.5	-7.94	14404
111.7	-7.75	14410
111.9	-7.67	14416
112.1	-7.75	14423
112.3	-7.77	14429
112.5	-7.72	14435
112.8	-7.68	14441
113.0	-7.60	14447
113.2	-7.45	14454
113.4	-7.38	14460
113.6	-7.44	14466
113.8	-7.44	14472
114.0	-7.27	14478
114.2	-7.29	14485
114.4	-7.18	14491
114.6	-7.08	14497
114.8	-7.24	14503
115.0	-7.23	14509
115.2	-7.29	14516
115.5	-7.29	14522
115.7	-7.17	14528
115.9	-7.16	14534
116.1	-7.14	14540
116.3	-7.06	14547
116.5	-7.08	14553
116.7	-7.02	14559
116.9	-7.03	14565
117.1	-7.02	14571
117.3	-7.02	14578
117.5	-7.10	14584
117.7	-6.93	14590
118.0	-6.88	14596
118.2	-6.95	14602
118.4	-6.91	14609
118.6	-6.67	14615
118.8	-6.75	14621
119.0	-6.77	14627
119.2	-6.74	14630
119.4	-6.84	14631
119.6	-6.69	14632
119.8	-6.71	14633
120.0	-6.49	14634
120.2	-6.51	14635
120.4	-6.49	14636
120.7	-6.57	14637
120.9	-6.67	14639
121.1	-6.50	14640
121.3		14641
121.5	-6.36	14642
121.7	-6.38	14643
121.9	-6.42	14644
122.1	-6.56	14645
122.3	-6.35	14647
122.5	-6.32	14648
122.7	-6.33	14649
122.9	-6.39	14655
123.2	-6.21	14663
123.4	-6.22	14671
123.6	-6.12	14679
123.8	-6.18	14688
124.0	-6.15	14696
124.2	-6.23	14704
124.4	-6.15	14712
124.6	-6.17	14720
124.8	-6.14	14728
125.0	-6.24	14737
125.2	-5.89	14745
125.4	-6.09	14753
125.6	-5.87	14761
125.9	-5.95	14769
126.1	-5.93	14778
126.3	-5.95	14786
126.5	-5.98	14794
126.7	-5.91	14802
126.9	-6.00	14810
127.1	-6.12	14818
127.3	-6.00	14827
127.5	-5.92	14835
127.7	-5.95	14843
127.9	-5.92	14851
128.1	-5.96	14859
128.4	-6.01	14868
128.6	-5.94	14876
128.8	-6.01	14884
129.0	-5.90	14892
129.2	-6.07	14900
129.4	-6.09	14908
129.6	-5.91	14917
129.8	-5.81	14925
130.0	-5.66	14933
130.2	-5.78	14962
130.4	-5.67	14991
130.6	-5.55	15019
130.8	-5.56	15048
131.1	-5.52	15077
131.3	-5.56	15095
131.5	-5.83	15104
131.7	-5.69	15112
131.9	-5.72	15121
132.1	-5.87	15129
132.3	-5.87	15138
132.5	-5.73	15146
132.7	-5.98	15155
132.9	-5.98	15163
133.1	-5.97	15172
133.3	-5.74	15180
133.6	-5.84	15189
133.8	-5.67	15197
134.0	-5.89	15206
134.2	-5.80	15214
134.4	-5.75	15223
134.6	-5.78	15231
134.8	-5.87	15240
135.0	-5.97	15248
135.2	-5.81	15257
135.4	-5.91	15265
135.6	-5.81	15273
136.0	-5.99	15282
136.3	-6.03	15290
136.5	-6.02	15299
136.7	-6.18	15307
136.9	-6.10	15316
137.1	-5.99	15324
137.3	-5.97	15333
137.5	-5.85	15341
137.7	-5.80	15350
137.9	-5.77	15358
138.1	-5.48	15367
138.3	-5.48	15375
138.5	-5.62	15384
138.8	-5.69	15392
139.0	-5.77	15401
139.2	-5.76	15409
139.4	-5.73	15418
139.6	-5.81	15426
139.8	-5.84	15435
140.0	-5.89	15443
140.2	-5.87	15452
140.4	-6.07	15460
140.6	-6.01	15468
140.8	-6.14	15476
141.0	-5.87	15484
141.2	-5.91	15492
141.4	-6.04	15501
141.6	-6.33	15509
141.8	-6.28	15517
142.0	-6.35	15525
142.3	-6.28	15533
142.6	-6.12	15545
142.9	-6.48	15558
143.2	-6.19	15570
143.5	-6.15	15577
143.8	-5.84	15581
144.1	-5.62	15585
144.4	-5.81	15589
144.7	-5.64	15594
145.0	-5.53	15598
145.3	-5.71	15602
145.6	-5.66	15606
145.9	-5.88	15610
146.2	-5.43	15614
146.5	-5.53	15618
146.7	-5.55	15623
146.9	-5.56	15625
147.1	-5.50	15628
147.3	-5.17	15631
147.5	-5.13	15634
147.7	-5.15	15636
147.9	-5.39	15639
148.1	-5.36	15642
148.3	-5.37	15645
148.5	-5.47	15648
148.7	-5.85	15650
148.9	-5.92	15653
149.1	-5.94	15656
149.3	-5.67	15659
149.5	-5.54	15661
149.7	-5.46	15664
149.9	-5.73	15667
150.1	-5.83	15670
150.3	-5.98	15678
150.5	-5.98	15686
150.7	-5.91	15694
150.9	-5.26	15702
151.1	-5.61	15710
151.3	-5.14	15718
151.5	-5.54	15727
152.1	-5.85	15735
152.4	-5.69	15760
152.6	-5.83	15771
152.9	-5.59	15781
153.1	-5.40	15791
153.4	-5.43	15801
153.6	-5.21	15811
153.9	-5.18	15822
154.1	-5.12	15832
154.3	-5.16	15840
154.4	-5.10	15847
154.6	-5.11	15854
154.8	-5.03	15861
154.9	-4.96	15868
155.1	-4.76	15875
155.4	-4.74	15883
155.6	-4.74	15893
155.9	-4.77	15903
156.1	-4.78	15914
156.3	-4.70	15923
156.5	-4.84	15931
156.7	-4.73	15939
156.9	-4.86	15947
157.1	-4.85	15956
157.3	-4.96	15964
157.5	-4.94	15972
157.7	-5.00	15980
157.9	-4.90	15988
158.1	-4.91	15996
158.3	-4.85	16005
158.5	-4.82	16013
158.7	-4.76	16021
158.9	-5.01	16029
159.1	-5.38	16037
159.3	-5.37	16044
159.5	-6.00	16052
159.7	-5.84	16060
159.9	-5.65	16069
160.2	-5.59	16077
160.4	-5.77	16090
160.6	-5.71	16099
160.8	-5.94	16107
161.0	-5.92	16115
161.4	-5.97	16123
161.8	-6.09	16139
162.1	-5.99	16156
162.4	-6.08	16170
162.7	-6.04	16182
163.0	-6.57	16193
163.1	-6.41	16205
163.3	-6.15	16209
163.5	-6.30	16217
