Sample_Name	Latitude_DD	Longitude_DD	Elevation_m	Boulder_Height_m	Month	Est_Avg_SWE_m	Est_SWE_SD	Est_Avg_Snow_Density	Est_Snow_Density_SD	Est_Avg_Snow_Depth_m	Est_Snow_Depth_SD	Snow_Surf_Rel_to_Sample_m	monthly_Ssnow	monthly_Ssnow_SD	annual_Ssnow	annual_Ssnow_SD
C2-Boulder2	37.79964	-119.21551	3416.8	0.75	August	0.000874085	0.000707303	0.277675364	0.020990068	0.003303831	0.002354321	0	1	0	0.904212779	0.017019714
UpLy-12-10	37.79902	-119.21601	3396.9	0.85	August	0.000875468	0.000692205	0.277130577	0.021285174	0.003308425	0.002304278	0	1	0	0.908981777	0.017357918
LoLy-11-08	37.80048	-119.2635	2738.6	2.5	August	0.000448765	0.000580476	0.278042779	0.020965606	0.001877456	0.001730494	0	1	0	0.99810484	0.004346697
TM14-01	37.77796	-119.26107	2949	0.46	August	0.000585579	0.000596033	0.276630914	0.021013649	0.002324662	0.001880104	0	1	0	0.879197775	0.019821702
TM14-02	37.79127	-119.26223	2751.6	1.1	August	0.000467476	0.000572309	0.276660357	0.021739215	0.001956327	0.001718504	0	1	0	0.953746072	0.015458808
TM14-03	37.79449	-119.26229	2739	2.5	August	0.000445139	0.00054798	0.27636404	0.02089735	0.001858852	0.001640401	0	1	0	0.998414774	0.00373391
TM14-04	37.79741	-119.26256	2741.2	0.8	August	0.000474724	0.000584601	0.277129362	0.021052651	0.001968872	0.001760445	0	1	0	0.928451672	0.017042157
TM14-05	37.80099	-119.26339	2735.3	0.82	August	0.000436779	0.000580693	0.276378705	0.021037228	0.001858933	0.001720821	0	1	0	0.931348716	0.015908982
TM14-06	37.80535	-119.26567	2741.4	1.3	August	0.000474912	0.00057578	0.276557299	0.021021336	0.001978987	0.001721446	0	1	0	0.965161616	0.01446456
TM14-07	37.86468	-119.30659	2709.5	1.2	August	0.000440208	0.000555322	0.276984252	0.021196642	0.001856397	0.001646389	0	1	0	0.958983983	0.014860224
TM14-11	37.88017	-119.39292	2672.1	0.65	August	0.000419575	0.000570726	0.276886508	0.021372242	0.001816804	0.001655669	0	1	0	0.914748026	0.017735551
TM14-12	37.88028	-119.39346	2679.4	1.43	August	0.000414661	0.000571158	0.279065149	0.021930063	0.00178986	0.00165927	0	1	0	0.972442241	0.013275608
TM14-13	37.88072	-119.39328	2676.9	0.65	August	0.00044342	0.000603433	0.276240193	0.021893525	0.001900492	0.00178538	0	1	0	0.911217451	0.018012037
TM14-15	37.90074	-119.40054	2638.9	0.87	August	0.000391448	0.000587943	0.277462891	0.021617149	0.001751616	0.001667058	0	1	0	0.937199831	0.016438858
TM14-16	37.88201	-119.34608	2853.1	0.98	August	0.000527463	0.000562734	0.277085688	0.021289831	0.002112102	0.001743399	0	1	0	0.93664574	0.017144018
TM14-17	37.88387	-119.3453	2852.7	0.8	August	0.000483319	0.00060838	0.27726107	0.021373215	0.002029564	0.00180748	0	1	0	0.926655566	0.015465305
TM14-18	37.88412	-119.34521	2858.4	1.55	August	0.00054121	0.000592892	0.27784855	0.021690534	0.002180198	0.001798897	0	1	0	0.974648971	0.013143439
C2-Boulder1	37.79927	-119.21545	3408.2	1.8	September	0.000338309	0.000742723	0.276980864	0.02080545	0.001799852	0.002017685	0	1	0	0.975118621	0.014722629
C2-Boulder2	37.79964	-119.21551	3416.8	0.75	September	0.000370425	0.000696587	0.276937413	0.021067642	0.001831791	0.001903387	0	1	0	0.904212779	0.017019714
UpLy-12-10	37.79902	-119.21601	3396.9	0.85	September	0.00034851	0.000738549	0.277492224	0.022012968	0.001801827	0.002019715	0	1	0	0.908981777	0.017357918
