Core_Section	Interval_cm	ODPdepth_m	ODPage_ka	BehlDepth_m	BehlAge_ka	HendyDepth_m	HendyAge_yrs	pach.d18O	pach.d13C	bull.d18O	bull.d13C
893A 01H 1	55	0.56	0.28	0.56	0.28	0.56	303	0.267		-0.175	
893A 01H 1	105	1.06	0.556	1.06	0.561	1.06	430	0.338		-0.095	
893A 01H 2	5	1.55	0.828	1.55	0.834	1.55	794	0.471			
893A 01H 2	55	2.05	1.117	2.05	1.123	2.05	1090	0.642		-0.029	
893A 01H 2	105	2.55	1.41	2.55	1.422	2.55	1370	0.735		0.026	
893A 01H 3	5	3.06	1.713	3.06	1.719	3.06	1641	0.429		-0.003	
893A 01H 3	55	3.56	2.012	3.56	2.018	3.56	1901	0.535		-0.091	
893A 01H 4	5	4.56	2.625	4.56	2.631	4.56	2500	0.516		-0.118	
893A 01H 4	55	5.06	2.932	5.06	2.938	5.06	2810	0.404		-0.002	
893A 01H 4	105	5.56	3.24	5.56	3.246	5.56	3024	0.393			
893A 02H 1	55	7.08	4.168	7.08	4.186	7.83	4644	0.514		-0.148	
893A 02H 1	105	7.58	4.482	7.58	4.507	8.33	5057	0.646		-0.14	
893A 02H 2	5	8.1	4.803	8.1	4.835	8.85	5491	0.524		-0.207	
893A 02H 2	55	8.61	5.12	8.61	5.158	9.36	5917	0.391		0.03	
893A 02H 2	105	9.08	5.412	9.08	5.457	9.83	6303	0.516		-0.086	
893A 02H 3	5	9.57	5.718	9.57	5.763	10.32	6691	0.523		-0.116	
893A 02H 3	55	10	6.025	10	6.044	10.75	7032	0.301		-0.17	
893A 02H 3	105	10.46	6.345	10.46	6.332	11.21	7397	0.411		-0.014	
893A 02H 4	5	10.86	6.628	10.86	6.596	11.61	7714	0.493		-0.003	
893A 02H 4	55	11.32	6.911	11.32	6.886	12.07	8055	0.609		0.018	
893A 02H 4	105	11.75	7.183	11.75	7.17	12.5	8316	0.499		0.164	
893A 02H 5	5	12.27	7.506	12.27	7.506	13.02	8528	0.676		0.215	
893A 02H 5	55	12.72	7.785	12.72	7.792	13.47	8712	0.859		0.144	
893A 02H 6	5	13.57	8.325	13.57	8.351	14.32	9035	0.74		0.065	
893A 02H 6	55	14.02	8.618	14.02	8.645	14.77	9085	0.745		0.235	
893A 02H 6	105	14.51	8.939	14.51	8.965	15.26	9151	0.78		0.234	
893A 02H 7	5	15.01	9.266	15.01	9.292	15.76	9217	0.716		0.148	
893A 03H 1	12	16.12	10.022	16.11	10.009	18.36	10627	0.635	0.517	0.175	-1.245
893A 03H 1	19	16.19	10.068	16.18	10.055	18.43	10655	0.895	0.257	0.395	-1.221
893A 03H 1	23	16.23	10.094	16.22	10.081	18.47	10671	0.687	0.407	0.029	-0.875
893A 03H 1	30	16.3	10.141	16.29	10.127	18.54	10698	0.826	0.223	0.49	-1.104
893A 03H 1	36	16.36	10.18	16.35	10.167	18.6	10722			0.173	-1.115
893A 03H 1	43	16.43	10.226	16.41	10.213	18.66	10746	0.75	0.154	0.487	-1.016
893A 03H 1	51	16.48	10.259	16.46	10.246	18.71	10766	0.469	-0.39	0.067	-1.131
893A 03H 1	55	16.52	10.285	16.5	10.272	18.75	10781	0.707	0.354	0.359	-1.026
893A 03H 1	62	16.59	10.332	16.57	10.318	18.82	10809	0.766	0.35	0.275	-0.898
893A 03H 1	68	16.65	10.371	16.63	10.358	18.88	10834	0.772	0.293	0.263	-1.109
893A 03H 1	72	16.69	10.398	16.67	10.384	18.92	10852	0.795	0.434	-0.071	-1.187
893A 03H 1	80	16.77	10.45	16.75	10.43	19	10887			0.27	-1.489
893A 03H 1	93	16.9	10.536	16.88	10.516	19.13	10944	0.876	0.116	0.096	-1.366
893A 03H 1	104	17.01	10.609	16.99	10.589	19.24	10997	0.888	0.304	0.314	-0.934
893A 03H 1	112	17.09	10.661	17.07	10.642	19.32	11036	0.878	0.346	0.257	-0.606
893A 03H 1	117	17.14	10.694	17.11	10.675	19.36	11056	0.929	0.314	0.31	-0.881
893A 03H 1	121	17.18	10.721	17.15	10.701	19.4	11076	0.845	0.492	0.344	-0.771
893A 03H 1	128	17.25	10.767	17.22	10.747	19.47	11111	0.907	0.354	0.255	-0.315
893A 03H 1	133	17.3	10.801	17.27	10.78	19.52	11136	1.066	0.347	0.469	-0.7
893A 03H 1	143	17.4	10.867	17.37	10.847	19.62	11177	0.901	0.409	0.219	-0.565
893A 03H 2	4	17.51	10.939	17.48	10.913	19.73	11207	1.075	0.345	0.279	-1.204
893A 03H 2	18	17.65	11.032	17.62	11.005	19.87	11245	1.013	0.399	-0.055	-1.062
893A 03H 2	25	17.72	11.078	17.69	11.052	19.94	11271	1.008	0.325	0.01	-0.98
893A 03H 2	30	17.77	11.111	17.74	11.085	19.99	11296	1.282	0.247	0.576	-0.392
893A 03H 2	55	18.02	11.277	17.98	11.25	20.23	11418	1.55	0.138		
893A 03H 2	63	18.1	11.33	18.06	11.303	20.31	11458	1.45	0.369	-0.17	-1.273
893A 03H 2	68	18.15	11.363	18.11	11.337	20.36	11484	1.457	0.257	0.22	-1.301
893A 03H 2	76	18.23	11.416	18.19	11.383	20.44	11524	1.48	0.372		
893A 03H 2	88	18.35	11.496	18.31	11.463	20.56	11585	1.402	0.424	0.336	-1.177
893A 03H 2	36	17.83	11.151	17.8	11.125	20.05	11326	1.262	0.352	-0.005	-0.95
893A 03H 2	105	18.52	11.609	18.48	11.575	20.73	11672	1.373	0.137		
3H-02	135	18.82	11.808	18.77	11.775	21.02	11819	1.708	0.419		
3H-02	142	18.89	11.854	18.84	11.821	21.09	11865	1.511	0.47	1.404	-1.121
3H-02	148	18.95	11.894	18.9	11.861	21.15	11906	1.561	0.52	0.565	-1.171
893A 03H 3	5	19.01	11.934	18.96	11.901	21.21	11946	1.617	0.406		
3H-03	12	19.09	11.985	19.04	11.954	21.29	12001	1.523	0.597		
3H-03	19	19.16	12.034	19.11	12.001	21.36	12048	1.614	0.516	1.476	-1.116
3H-03	26	19.23	12.081	19.19	12.047	21.44	12102	1.673	0.524		
893A 03H 3	31	19.26	12.117	19.22	12.067	21.47	12122	1.788	0.396		
3H-03	38	19.35	12.161	19.31	12.127	21.56	12183	1.424	0.427		
3H-03	45	19.42	12.207	19.38	12.174	21.63	12230	1.383	0.267		
893A 03H 3	55	19.51	12.267	19.47	12.24	21.72	12291	1.718	-0.043		
3H-03	62	19.59	12.317	19.55	12.294	21.8	12345	1.938	-0.232		
3H-03	69	19.66	12.367	19.62	12.34	21.87	12392	1.761	0.218	0.268	-1.362
3H-03	77	19.72	12.409	19.69	12.38	21.94	12440	1.647	0.247	0.545	-1.544
3H-03	83	19.76	12.434	19.73	12.407	21.98	12467	1.628	0.459	0.022	-2.013
3H-03	90	19.83	12.478	19.8	12.453	22.05	12514	2.106	0.142	0.481	-1.963
893A 03H 3	101	19.93	12.547	19.9	12.52	22.15	12582	1.791	-0.116	0.925	-1.412
3H-03	119	20.11	12.667	20.08	12.647	22.33	12703	1.565	0.707	1.013	-1.241
3H-03	126	20.18	12.714	20.16	12.694	22.41	12764	1.655	0.441	0.909	-0.908
3H-03	133	20.25	12.761	20.23	12.74	22.48	12826	1.562	0.377	0.741	-1.245
3H-03	141	20.33	12.8136	20.31	12.794	22.56	12896	1.29	0.244	0.496	-1.805
893A 03H 4	5	20.46	12.9	20.44	12.887	22.69	13010	1.474	0.23	0.645	-1.397
3H-04	12	20.53	12.947	20.51	12.934	22.76	13072	1.322	0.307	0.459	-1.287
3H-04	26	20.67	13.041	20.65	13.027	22.9	13119	1.35	0.412	0.592	-1.501
3H-04	33	20.74	13.088	20.72	13.074	22.97	13139	1.273	0.179	0.861	-0.955
3H-04	40	20.81	13.134	20.79	13.121	23.04	13159	1.317	0.149	0.939	-0.673
3H-04	47	20.88	13.181	20.86	13.168	23.11	13180	1.457	0.186	0.742	-0.345
893A 03H 4	56	20.97	13.241	20.95	13.228	23.2	13206	1.112	0.162		
3H-04	61	21.02	13.275	21	13.261	23.25	13221	1.172	0.546	0.873	-0.758
3H-04	68	21.09	13.322	21.07	13.308	23.32	13241	1.215	0.552	0.943	-1.295
3H-04	75	21.16	13.368	21.15	13.355	23.4	13264	1.283	0.368	0.9	-0.935
3H-04	82	21.23	13.415	21.22	13.402	23.47	13285	1.418	0.324	1.248	-0.964
3H-04	89	21.3	13.462	21.29	13.449	23.54	13305	1.187	0.618	0.405	-1.139
3H-04	96	21.37	13.509	21.36	13.496	23.61	13326	1.021	0.437		
3H-04	103	21.44	13.556	21.43	13.542	23.68	13346	1.221	0.552	0.896	-1.144
3H-04	110	21.51	13.603	21.5	13.589	23.75	13367	1.113	0.522	0.86	-1.341
3H-04	117	21.58	13.65	21.57	13.636	23.82	13387	1.267	0.337	0.714	-1.24
3H-04	124	21.65	13.696	21.64	13.683	23.89	13407	1.369	0.329	0.937	-1.195
3H-04	131	21.72	13.743	21.71	13.73	23.96	13428	1.347	0.42	1.109	-1.174
3H-04	145	21.81	13.804	21.8	13.79	24.05	13454	1.45	0.346	0.948	-1.361
893A 03H 5	5	21.9	13.864	21.89	13.851	24.14	13480	1.373	-0.031	0.752	-1.503
3H-05	19	22.04	13.958	22.03	13.945	24.28	13542	1.369	0.475	0.618	-1.31
893A 03H 5	28	22.13	14.014	22.12	14.005	24.37	13589	1.313	0.34	0.557	-1.062
3H-05	33	22.18	14.052	22.17	14.038	24.42	13616	1.364	0.499	0.612	-0.929
3H-05	40	22.23	14.085	22.22	14.072	24.47	13642	1.407	0.373	0.892	-1.161
3H-05	47	22.3	14.133	22.29	14.119	24.54	13679	1.429	0.382	0.617	-1.071
893A 03H 5	53	22.36	14.164	22.35	14.159	24.6	13710	1.529	0.225	0.625	-0.84
3H-05	61	22.44	14.226	22.43	14.213	24.68	13752	1.362	0.28	0.678	-1.169
3H-05	67	22.48	14.253	22.47	14.24	24.72	13773	1.345	0.354	0.293	-1.6
3H-05	75	22.54	14.294	22.53	14.28	24.78	13804	1.255	0.579	0.251	-1.314
893A 03H 5	86	22.58	14.32	22.57	14.307	24.82	13825	1.531	0.165	0.713	-1.191
3H-05	96	22.68	14.388	22.67	14.374	24.92	13878	1.391	0.409	0.598	-1.382
3H-05	103	22.75	14.435	22.74	14.421	24.99	13915	1.662	0.307	0.938	-1.363
3H-05	106	22.78	14.455	22.77	14.441	25.02	13930	1.616	0.098	0.93	-1.06
3H-05	117	22.89	14.529	22.88	14.515	25.13	13988	1.427	0.491	0.596	-1.347
3H-05	124	22.96	14.576	22.95	14.562	25.2	14025	1.607	0.416	0.743	-0.795
3H-05	131	23.03	14.623	23.02	14.609	25.27	14062	1.708	0.263	0.694	-1.401
3H-05	138	23.1	14.67	23.09	14.656	25.34	14098	1.481	0.388	1.081	-1.226
3H-05	145	23.17	14.717	23.16	14.704	25.41	14135	1.431	0.382	0.483	-1.24
3H-06	0	23.21	14.744	23.2	14.73	25.45	14156	1.294	0.338	0.898	-1.608
893A 03H 6	7	23.29	14.791	23.28	14.784	25.53	14198	1.203	0.356	0.649	-1.346
3H-06	14	23.35	14.838	23.34	14.825	25.59	14229	1.401	0.344	0.917	-1.436
893A 03H 6	27	23.44	14.897	23.43	14.885	25.68	14277	1.33	0.442	0.554	-1.48
3H-06	35	23.51	14.946	23.49	14.932	25.74	14308	1.012	-0.01	0.72	-1.492
3H-06	42	23.58	14.993	23.56	14.98	25.81	14345	1.417	0.279	0.713	-1.396
3H-06	49	23.65	15.04	23.63	15.027	25.88	14381	1.357	0.469	0.63	-1.379
893A 03H 6	55	23.71	15.081	23.69	15.06	25.94	14413	1.197	0.188	0.568	-1.756
3H-06	63	23.79	15.134	23.77	15.114	26.02	14455	1.516	0.133	0.773	-1.653
3H-06	70	23.86	15.182	23.84	15.161	26.09	14492	1.679	0.162	0.723	-1.459
3H-06	77	23.93	15.229	23.91	15.209	26.16	14528	1.301	0.099		
893A 03H 6	84	24	15.28	23.97	15.256	26.22	14560	1.159	0.187	0.745	-1.369
3H-06	105	24.21	15.418	24.18	15.391	26.43	14694	1.729	-0.015	1.445	-1.472
3H-06	112	24.28	15.465	24.25	15.438	26.5	14751	1.968	0.072	0.944	-0.928
3H-06	119	24.35	15.512	24.32	15.485	26.57	14808	2.027	0.034	1.59	-1.017
3H-06	126	24.42	15.56	24.38	15.532	26.63	14858	2.342	0.071	1.688	-1.279
3H-06	133	24.49	15.607	24.45	15.58	26.7	14915	2.019	-0.022	2.009	-0.804
3H-06	137	24.53	15.634	24.49	15.606	26.74	14948	2.23	0.001	1.466	-1.113
3H-06	140	24.56	15.654	24.52	15.627	26.77	14972	2.081	0.065	1.7	-0.809
3H-06	147	24.63	15.701	24.59	15.674	26.84	15030	1.917	0.141	1.141	-1.423
893A 03H 7	5	24.7	15.748	24.66	15.721	26.91	15087	1.841	-0.125	1.781	-1.138
3H-07	12	24.77	15.796	24.73	15.769	26.98	15144	1.835	0.239	1.53	-1.059
3H-07	19	24.84	15.843	24.8	15.816	27.05	15202	1.963	0.212	1.73	-0.793
3H-07	33	24.98	15.937	24.94	15.91	27.19	15317	2.152	-0.017	0.977	-1.593
3H-07	40	25.05	15.985	25.01	15.958	27.26	15374	2.2	-0.036	1.09	-1.434
3H-07	47	25.12	16.032	25.09	16.005	27.34	15440	2.251	-0.001	1.558	-1.624
893A 03H 7	52	25.17	16.066	25.14	16.039	27.39	15480	2.21	0.041		
3H-07	53	25.18	16.072	25.15	16.046	27.4	15489	2.411	0.016	1.186	-1.234
3H-07	61	25.26	16.127	25.23	16.1	27.48	15554	2.406	0.011	1.671	-1.125
3H-07	68	25.33	16.174	25.3	16.147	27.55	15612	2.312	0.117		
3H-07	75	25.4	16.221	25.37	16.194	27.62	15669	2.235	0.068	1.631	-1.192
3H-07	79	25.44	16.248	25.41	16.221	27.66	15702	1.836	0.2	1.885	-1.164
4H-01	0	25.5	16.282	25.8	16.485	28.05	16602	2.283	0.118	2.164	-1.186
893A 04H 1	5	25.55	16.323	25.85	16.526	28.1	16621	2.641	-0.119	2.615	-0.66
4H-01	19	25.69	16.417	25.99	16.621	28.24	16675	2.605	0.161	2.93	-0.808
4H-01	26	25.76	16.465	26.07	16.668	28.32	16706	2.668	-0.005	2.737	-0.843
893A 04H 1	32	25.82	16.506	26.13	16.709	28.38	16729	2.241	-0.176	2.675	-0.929
4H-01	40	25.9	16.56	26.21	16.763	28.46	16760	2.683	0.127	3.065	-0.722
4H-01	47	25.97	16.607	26.28	16.817	28.53	16786	2.784	-0.059	2.682	-0.831
4H-01	54	26.04	16.655	26.35	16.865	28.6	16815	2.592	-0.171		
893A 04H 1	86	26.13	16.738	26.45	16.926	28.7	16856	2.552	-0.206	3.019	-0.794
4H-01	96	26.23	16.783	26.55	16.993	28.8	16898	2.735	-0.057	2.945	-0.636
893A 04H 1	105	26.32	16.844	26.64	17.055	28.89	16935	2.825	-0.23	2.707	-0.746
4H-01	110	26.37	16.878	26.69	17.095	28.94	16956	2.984	-0.18	2.804	-0.787
4H-01	117	26.44	16.926	26.76	17.143	29.01	16985	2.652	0.089	2.84	-0.783
4H-01	124	26.51	16.973	26.83	17.19	29.08	17014	2.804	-0.148	2.942	-0.776
4H-01	131	26.58	17.021	26.91	17.238	29.16	17047	2.621	-0.025	2.83	-0.853
4H-01	138	26.65	17.068	26.98	17.285	29.23	17076	2.776	-0.038	2.739	-0.907
4H-01	145	26.72	17.116	27.05	17.333	29.3	17106	2.849	-0.072	3.009	-0.881
4H-02	12	26.88	17.224	27.21	17.448	29.46	17164	2.865	-0.125	3.043	-0.664
4H-02	19	26.95	17.271	27.28	17.496	29.53	17185	2.698	-0.016	3.112	-1
4H-02	33	27.05	17.34	27.39	17.564	29.64	17217	2.79	-0.039	2.684	-1.014
4H-02	40	27.12	17.387	27.46	17.611	29.71	17238	2.939	-0.026	3.127	-0.662
4H-02	47	27.19	17.435	27.53	17.659	29.78	17259	2.802	-0.01	2.913	-0.731
893A 04H 2	55	27.25	17.475	27.59	17.706	29.84	17277	2.638	-0.228	2.771	-0.791
4H-02	61	27.31	17.516	27.65	17.747	29.9	17295	2.455	0.101	2.675	-0.743
4H-02	68	27.38	17.563	27.72	17.795	29.97	17316	2.744	-0.096	2.888	-0.886
4H-02	75	27.45	17.611	27.79	17.842	30.04	17337	2.735	-0.071	2.398	-1.099
4H-02	82	27.52	17.659	27.87	17.89	30.12	17361	2.83	-0.199	2.899	-0.69
4H-02	89	27.59	17.706	27.94	17.938	30.19	17381	2.814	0.025	3.151	-0.608
4H-02	96	27.66	17.754	28.01	17.985	30.26	17402	3.021	-0.072	3.527	-0.691
4H-02	103	27.73	17.802	28.08	18.04	30.33	17423	2.718	-0.119	2.963	-0.576
4H-02	110	27.8	17.849	28.15	18.087	30.4	17444	2.654	-0.079	2.815	-0.947
4H-02	117	27.87	17.897	28.22	18.135	30.47	17465	2.567	-0.141	2.95	-0.818
4H-02	131	27.97	17.965	28.33	18.203	30.58	17498	2.604	-0.21	2.755	-0.837
4H-02	138	28.04	18.012	28.4	18.251	30.65	17518	2.699	-0.09	2.628	-0.769
4H-02	145	28.11	18.06	28.47	18.298	30.72	17539	2.705	-0.058	2.608	-0.877
4H-03	0	28.16	18.094	28.52	18.332	30.77	17554	2.851	-0.085	2.835	-0.798
893A 04H 3	7	28.23	18.142	28.59	18.387	30.84	17575	2.684	-0.447	2.704	-0.702
4H-03	14	28.3	18.189	28.66	18.435	30.91	17596	2.597	-0.183	2.963	-0.676
4H-03	21	28.37	18.237	28.73	18.482	30.98	17617	2.755	-0.098	2.805	-0.851
4H-03	28	28.44	18.284	28.8	18.53	31.05	17638	2.647	-0.218	2.644	-0.717
4H-03	35	28.51	18.332	28.87	18.578	31.12	17658	2.523	-0.019	2.777	-0.877
4H-03	42	28.58	18.38	28.95	18.625	31.2	17682	2.602	0.11	3.224	-0.631
4H-03	49	28.65	18.428	29.02	18.673	31.27	17703	2.532	-0.024	2.723	-0.911
4H-03	63	28.79	18.523	29.16	18.768	31.41	17764	2.549	-0.157	2.405	-0.883
4H-03	77	28.91	18.608	29.28	18.857	31.53	17847	2.406	-0.058	2.561	-0.857
4H-03	84	28.98	18.652	29.35	18.905	31.6	17894	2.43	-0.079	2.516	-0.954
4H-03	91	29.05	18.7	29.42	18.953	31.67	17942	2.569	0.052	2.95	-0.657
893A 04H 3	106	29.16	18.775	29.53	19.028	31.78	18018	2.248	-0.159	2.567	-0.725
4H-03	112	29.21	18.812	29.58	19.062	31.83	18052	2.347	-0.119	2.425	-0.886
4H-03	119	29.272	18.851	29.65	19.103	31.9	18100	2.295	0.092	2.705	-0.936
4H-03	126	29.34	18.898	29.72	19.151	31.97	18148	2.734	-0.031	2.87	-0.646
4H-03	133	29.41	18.946	29.79	19.198	32.04	18196	2.537	0.031	2.643	-0.788
4H-03	140	29.48	18.994	29.86	19.246	32.11	18244	2.523	-0.066	2.634	-0.777
4H-03	147	29.55	19.041	29.93	19.294	32.18	18292	2.637	-0.047	2.553	-0.836
4H-04	5	29.63	19.096	30.01	19.355	32.26	18348	2.642	0.08	2.762	-0.541
4H-04	10	29.68	19.13	30.06	19.39	32.31	18391	2.45	0.293	2.821	-0.657
4H-04	17	29.75	19.178	30.14	19.437	32.39	18458	2.439	-0.129	3.128	-0.573
4H-04	24	29.82	19.226	30.21	19.485	32.46	18517	2.805	0.055	2.752	-0.505
4H-04	31	29.89	19.274	30.28	19.533	32.53	18576	2.609	0.023	2.919	-0.784
4H-04	38	29.96	19.321	30.35	19.588	32.6	18635	2.45	-0.064	2.274	-1.378
4H-04	45	30	19.349	30.39	19.615	32.64	18669	2.249	0.124	2.781	-0.965
4H-04	52	30.07	19.396	30.47	19.663	32.72	18736	2.315	0.19	2.339	-0.743
893A 04H 4	57	30.12	19.431	30.52	19.697	32.77	18778	2.38	-0.279	2.412	-0.615
4H-04	73	30.19	19.479	30.59	19.745	32.84	18837	2.348	0.06	2.366	-0.611
4H-04	80	30.26	19.526	30.66	19.8	32.91	18896	2.549	0.213	2.404	-0.974
4H-04	87	30.324	19.57	30.73	19.841	32.98	18955	2.43	0.116		
4H-04	101	30.44	19.649	30.85	19.923	33.1	19035	2.409	-0.152		
4H-04	108	30.496	19.687	30.91	19.964	33.16	19074	2.749	-0.069		
4H-04	115	30.56	19.732	30.97	20.012	33.22	19112	2.48	0.243	2.521	-0.75
4H-04	122	30.63	19.78	31.04	20.06	33.29	19156	2.464	0.097	2.743	-0.611
4H-04	143	30.75	19.861	31.17	20.142	33.42	19239	2.594	-0.109	2.445	-0.621
893A 04H 5	9	30.91	19.971	31.33	20.258	33.58	19340	2.546	-0.258		
4H-05	19	31.01	20.039	31.43	20.327	33.68	19404	2.546	-0.144	2.575	-0.787
4H-05	26	31.08	20.087	31.5	20.375	33.75	19448	2.51	-0.079	2.575	-0.787
4H-05	33	31.15	20.135	31.57	20.423	33.82	19492	2.569	-0.013	2.757	-0.726
4H-05	40	31.22	20.183	31.64	20.471	33.89	19537	2.262	0.105	2.575	-0.738
4H-05	47	31.29	20.231	31.71	20.519	33.96	19581	2.326	0.195	2.877	-0.621
4H-05	54	31.36	20.279	31.78	20.567	34.03	19626	2.593	-0.232	2.868	-0.698
4H-05	68	31.5	20.375	31.92	20.663	34.17	20349	2.299	0.19	2.357	-1.096
4H-05	89	31.65	20.478	32.08	20.765	34.33	20895	2.188	0.324	2.517	-1.03
4H-05	96	31.72	20.525	32.15	20.813	34.4	20940	2.54	0.021	2.184	-0.695
4H-05	103	31.79	20.573	32.22	20.862	34.47	20985	2.408	-0.024		
893A 04H 5	108	31.84	20.608	32.27	20.896	34.52	21017	2.788	-0.148		
4H-05	117	31.903	20.651	32.33	20.944	34.58	21056	2.487	0.042		
4H-05	124	31.97	20.697	32.4	20.985	34.65	21101	2.669	-0.083		
4H-05	131	32.04	20.745	32.47	21.033	34.72	21146	2.775	-0.036		
4H-05	138	32.11	20.793	32.54	21.081	34.79	21191	2.905	1.134	2.664	-0.754
4H-05	145	32.18	20.841	32.61	21.129	34.86	21236	2.62	0.049	3.339	0.081
4H-06	5	32.27	20.903	32.7	21.191	34.95	21294	2.471	0.036	2.657	-0.89
4H-06	12	32.34	20.951	32.76	21.239	35.01	21333	2.589	0.024	2.9	-0.712
4H-06	19	32.41	20.998	32.83	21.287	35.08	21378	2.552	0.121	2.729	-0.627
4H-06	26	32.48	21.047	32.9	21.328	35.15	21423	2.724	-0.094	2.964	-0.713
4H-06	33	32.55	21.095	32.97	21.376	35.22	21468	2.568	-0.01	2.969	-0.306
4H-06	40	32.62	21.143	33.03	21.424	35.28	21507	2.479	0.075	2.954	-0.539
4H-06	47	32.68	21.184	33.09	21.466	35.34	21545	2.435	0.132	2.976	-0.598
4H-06	54	32.75	21.232	33.16	21.507	35.41	21590	2.45	-0.02	2.591	-0.778
893A 04H 6	57	32.78	21.253	33.19	21.527	35.44	21610	2.532	-0.411	2.907	-0.588
4H-06	68	32.878	21.32	33.28	21.596	35.53	21667	2.732	-0.127	2.913	-0.688
4H-06	75	32.94	21.3625	33.34	21.631	35.59	21706	2.663	-0.155	2.951	-0.782
4H-06	82	33.01	21.4105	33.41	21.679	35.66	21751	2.788	-0.119	2.964	-0.675
4H-06	89	33.08	21.459	33.47	21.727	35.72	21790	2.71	0.052	2.753	-0.701
4H-06	96	33.15	21.507	33.54	21.775	35.79	21835	2.467	0.256	2.709	-0.591
4H-06	103	33.21	21.549	33.6	21.809	35.85	21873	2.316	0.318	2.712	-0.595
4H-06	110	33.27	21.589	33.66	21.851	35.91	21912	2.439	0.027	2.817	-0.677
4H-06	117	33.34	21.637	33.72	21.899	35.97	21951	2.4	-0.089	2.764	-0.83
4H-06	124	33.4	21.676	33.78	21.94	36.03	21989	2.325	0.158	2.781	-0.574
4H-06	138	33.52	21.761	33.9	22.016	36.15	22067	2.638	-0.04	2.867	-0.613
4H-06	145	33.59	21.809	33.96	22.064	36.21	22105	2.634	-0.181	2.975	-0.685
893A 04H 7	3	33.68	21.871	34.05	22.126	36.3	22163	2.66	-0.277	2.872	-0.602
4H-07	17	33.82	21.968	34.19	22.222	36.44	22253	2.472	0.166	2.85	-0.568
4H-07	24	33.89	22.016	34.26	22.27	36.51	22298	2.481	-0.124	2.895	-0.66
4H-07	31	33.96	22.064	34.33	22.319	36.58	22343	2.4	0.141	2.858	-0.456
4H-07	38	34.03	22.112	34.41	22.367	36.66	22395	2.596	0.097	3.039	-0.408
4H-07	45	34.1	22.16	34.48	22.415	36.73	22440	2.326	-0.123	2.922	-0.561
4H-07	52	34.17	22.209	34.55	22.463	36.8	22485	2.643	0.054	2.845	-0.513
4H-07	59	34.24	22.256	34.62	22.511	36.87	22530	2.154	0.403	2.887	-1.027
4H-07	66	34.27	22.277	34.65	22.532	36.9	22549	2.523	-0.047	2.932	-0.512
4H-07	75	34.34	22.326	34.72	22.58	36.97	22595	2.458	0.093	2.828	-0.639
4H-07	79	34.4	22.367	34.78	22.622	37.03	22633	2.459	-0.059	2.806	-0.676
4H-CC	5	34.46	22.405	34.81	22.642	37.06	22652	2.496	-0.032	2.727	-0.776
4H-CC	19	34.65	22.539	34.91	22.711	37.16	22717	2.649	-0.059	2.865	-0.64
5H-01	3	35.004	22.783	35.08	22.835	37.33	22826	2.364	0.012	2.77	-0.687
5H-01	24	35.24	22.945	35.33	23.001	37.58	22987	2.425	-0.048	2.728	-0.562
5H-01	31	35.31	22.994	35.4	23.056	37.65	23032	2.449	0.019	2.896	-0.533
5H-01	38	35.38	23.042	35.47	23.104	37.72	23077	2.588	0.179	3.018	-0.395
5H-01	45	35.45	23.091	35.55	23.153	37.8	23129	2.597	0.127	2.627	-0.706
5H-01	52	35.52	23.139	35.62	23.201	37.87	23174	2.42	0.125	2.97	-0.539
5H-01	59	35.59	23.187	35.69	23.256	37.94	23219	2.197	-0.261	2.627	-0.879
5H-01	66	35.66	23.236	35.76	23.304	38.01	23264	2.241	0.172	2.865	-0.666
5H-01	73	35.73	23.284	35.84	23.353	38.09	23316	2.143	0.362	2.152	-0.65
5H-01	80	35.8	23.332	35.91	23.401	38.16	23362	2.029	0.455	2.05	-0.699
5H-01	87	35.87	23.38	35.98	23.456	38.23	23408	2.271	0.202	2.24	-0.82
5H-01	94	35.94	23.429	36.05	23.505	38.3	23454	2.151	0.149	2.438	-0.976
893A 05H 1	105	36.01	23.477	36.13	23.553	38.38	23507	2.376	-0.162	2.76	-0.873
5H-01	119	36.08	23.525	36.2	23.601	38.45	23553	2.463	0.104	2.746	-0.756
5H-01	129	36.153	23.576	36.28	23.657	38.53	23606	1.915	0.252	2.603	-0.886
5H-01	136	36.22	23.622	36.35	23.705	38.6	23652	2.103	0.201	2.616	-0.763
5H-01	143	36.29	23.671	36.42	23.753	38.67	23699	2.171	0.055	2.436	-0.795
5H-02	0	36.365	23.722	36.5	23.809	38.75	23751	2.748	0.059	2.608	-0.752
5H-02	12	36.45	23.781	36.58	23.871	38.83	23804	2.413	0.238	2.657	-0.822
5H-02	19	36.496	23.813	36.63	23.905	38.88	23837	2.542	0.022	2.703	-0.951
5H-02	26	36.511	23.823	36.65	23.912	38.9	23851	2.493	-0.113	2.576	-0.882
5H-02	40	36.62	23.899	36.76	23.995	39.01	23923	2.737	-0.129	2.7	-0.785
5H-02	47	36.69	23.947	36.83	24.044	39.08	23969	2.507	-0.029	2.784	-0.657
5H-02	61	36.83	24.044	36.98	24.14	39.23	24069	2.572	0	2.757	-0.726
5H-02	68	36.9	24.092	37.05	24.196	39.3	24115	2.512	-0.108	2.7	-0.911
5H-02	75	36.97	24.14	37.12	24.244	39.37	24161	2.764	-0.268	2.687	-0.902
5H-02	82	37.04	24.189	37.2	24.293	39.45	24214	2.665	0.045	2.683	-0.715
