Years_B2008	d18O_VPDB
34523	-10.688
34549	-10.631
34575	-10.256
34601	-10.668
34627	-10.33
34652	-10.2
34678	-10.155
34702	-9.248
34727	-9.149
34751	-9.12
34775	-9.445
34798	-9.479
34821	-9.418
34843	-9.118
34865	-8.879
34887	-8.302
34907	-7.928
34928	-7.768
34947	-7.649
34966	-7.85
34984	-7.984
35002	-7.882
35019	-7.86
35035	-7.991
35050	-7.905
35064	-8.045
35078	-7.822
35090	-7.92
35102	-8.002
35113	-7.988
35122	-8.212
35131	-8.351
35135	-8.183
35167	-7.852
35199	-7.992
35231	-7.707
35263	-7.603
35294	-7.596
35326	-7.661
35357	-7.614
35388	-7.816
35419	-7.856
35450	-8.091
35480	-8.232
35510	-8.224
35541	-8.223
35570	-8.294
35600	-8.381
35630	-8.551
35659	-8.75
35688	-8.505
35716	-8.406
35745	-8.05
35773	-8.173
35801	-8.403
35828	-8.504
35855	-8.835
35882	-9.292
35909	-9.403
35936	-9.923
35962	-10.516
35987	-10.711
36013	-10.979
36038	-11.059
36063	-11.168
36087	-11.27
36112	-11.143
36135	-11.218
36159	-11.05
36182	-11.155
36205	-10.904
36228	-10.744
36250	-10.466
36272	-10.339
36294	-10.251
36315	-9.856
36336	-9.896
36357	-9.861
36377	-9.593
36397	-9.538
36417	-9.444
36436	-9.571
36455	-9.605
36474	-9.378
36493	-9.382
36511	-8.958
36529	-8.406
36546	-8.373
36564	-8.303
36581	-8.307
36597	-8.327
36614	-8.328
36630	-8.468
36646	-8.754
36662	-8.586
36677	-8.565
36692	-8.468
36707	-8.587
36722	-8.425
36736	-8.402
36750	-8.508
36764	-8.344
36778	-8.287
36792	-8.129
36805	-8.381
36818	-8.182
36831	-8.212
36844	-8.241
36857	-8.182
36869	-8.247
36881	-8.3
36893	-8.444
36905	-8.531
36917	-8.411
36929	-8.684
36940	-8.766
36952	-8.844
36963	-9.025
36974	-9.115
36985	-9.071
36996	-9.135
37007	-9.031
37018	-9.013
37029	-8.927
37040	-8.769
37051	-8.776
37061	-8.804
37072	-8.778
37083	-8.781
37093	-8.758
37104	-8.921
37114	-8.836
37125	-8.855
37136	-8.819
37146	-8.851
37157	-8.785
37168	-8.871
37179	-8.847
37190	-8.714
37201	-8.548
37212	-8.457
37223	-8.33
37234	-8.146
37246	
37257	-7.865
37269	-7.789
37281	-7.682
37292	-7.956
37305	
37317	-8.152
37329	-8.29
37342	-8.341
37355	-8.417
37368	-8.472
37381	-8.511
37394	-8.545
37408	-8.595
37422	-8.497
37436	-8.588
37450	-8.413
37465	-8.276
37480	-8.203
37495	-8.204
37510	-8.08
37526	-8.16
37542	-8.104
37558	-8.112
37575	-8.214
37592	-8.438
37609	-8.485
37627	-8.538
37645	-8.484
37663	-8.456
37682	-8.438
37701	-8.485
37721	-8.468
37740	-8.283
37761	-8.278
37781	-8.261
37802	-8.216
37824	-8.145
37845	-8.015
37868	-8.097
37890	-7.93
37913	-7.951
37937	-7.918
37961	-7.783
37985	-7.77
38010	-7.742
38035	-7.719
38061	-7.832
38087	-7.781
38114	-8.014
38141	-8.047
38169	-8.131
38197	-8.163
38225	-8.533
38255	-8.298
38284	-8.419
38314	-8.501
38345	-9.147
38376	-8.571
38408	-8.711
38440	-8.735
38472	-8.761
38505	-8.475
38539	-8.771
38573	-8.766
38608	-9.167
38643	-9.332
38679	-9.81
38715	-10.32
38752	-10.76
38789	-11.17
38827	-11.403
38866	-11.523
38904	-11.206
38944	-10.953
38984	-11.129
39024	-10.753
39065	-10.699
39107	-10.522
39149	-10.736
39191	-11.358
39235	-11.289
39278	-11.187
39322	-11.383
39367	-11.178
39412	-11.027
39458	-11.081
39504	-11.047
39550	-10.85
39598	-10.758
39645	-10.624
39693	-10.735
39742	-10.448
39791	-10.371
39841	-10.388
39891	
39941	-9.922
39992	-10.056
40043	-10.131
40095	-10.205
40147	-10.382
40200	-10.417
40253	-9.817
40307	-9.482
40361	-10.488
40415	-9.337
40470	-9.804
40525	
40580	-10.517
40636	-10.496
40692	-10.399
40749	-10.327
40806	-10.225
40863	-10.235
40920	-10.117
40978	-10.199
41036	-10.225
41095	-10.245
41153	-10.332
41212	-10.307
41271	-9.792
41331	-9.733
41390	-9.811
41450	-9.512
41510	-8.861
41570	-8.751
41630	-8.862
41690	-8.516
41751	-8.396
41812	-8.565
41872	-8.467
41933	-8.37
41994	-8.222
42055	-8.216
42116	-8.116
42177	-8.093
