Sample_Name	PercentSnow	UncertType	Calculator	ProdRate	ScalingModel	Atmosphere	MagField	Age	Uncert	Location	Outlier	WMean	SpG	MSWD	P_MSWD	WMean_SD	Boulder_Height_m	LocationOrder	Elevation_m
TM14-03	100	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14720	926	LLC	FALSE	14398	6	0.466854633233394	0.801220196533508	370	2.5	9	2740
TM14-04	100	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14290	877	LLC	FALSE	14398	6	0.466854633233394	0.801220196533508	370	0.8	10	2743
TM14-05	100	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14084	903	LLC	FALSE	14398	6	0.466854633233394	0.801220196533508	370	0.82	11	2740
TM14-06	100	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14430	905	LLC	FALSE	14398	6	0.466854633233394	0.801220196533508	370	1.3	12	2744
TM14-07	100	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	16214	1018	TM-LC	FALSE	16214	1			1018	1.2	14	2709
TM14-11	100	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14361	911	PD	FALSE	14923	2	8.1505146576512	0.00430489420278954	1896	0.65	20	2672.7
TM14-12	100	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15484	971	PD	FALSE	14923	2	8.1505146576512	0.00430489420278954	1896	1.43	21	2679.8
TM14-13	100	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	22735	1458	PD	TRUE	14923					0.65	22	2678.9
TM14-15	100	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15181	934	LM	FALSE	15181	1			934	0.87	24	2638.5
TM14-16	100	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13940	872	LD	FALSE	14693	3	6.09354900728368	0.0022573832121377	1298	0.98	16	2854.4
TM14-17	100	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15038	933	LD	FALSE	14693	3	6.09354900728368	0.0022573832121377	1298	0.8	17	2853.5
TM14-18	100	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15110	933	LD	FALSE	14693	3	6.09354900728368	0.0022573832121377	1298	1.55	18	2858.6
UpLy-12-10	100	Ext	Standard Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14508	903	ULC	FALSE	14912	3	2.40323046127059	0.090425365306289	840	0.85	3	3400
C2-Boulder1	0	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14784	302	ULC	FALSE	13918	3	7.36951164673552	0.000630175852399543	527	1.8	1	3409
C2-Boulder2	0	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13899	409	ULC	FALSE	13918	3	7.36951164673552	0.000630175852399543	527	0.75	2	3417
LoLy-11-08	0	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14452	420	LLC	FALSE	13742	6	3.88493723981986	0.00160159276266399	264	2.5	7	2742
TM14-01	0	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14019	286	MLC	FALSE	14019	1			286	0.46	5	2955
TM14-02	0	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13724	308	LLC	FALSE	13742	6	3.88493723981986	0.00160159276266399	264	1.1	8	2751
TM14-03	0	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14686	348	LLC	FALSE	13742	6	3.88493723981986	0.00160159276266399	264	2.5	9	2740
TM14-04	0	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13187	262	LLC	FALSE	13742	6	3.88493723981986	0.00160159276266399	264	0.8	10	2743
TM14-05	0	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	12972	362	LLC	FALSE	13742	6	3.88493723981986	0.00160159276266399	264	0.82	11	2740
TM14-06	0	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13893	330	LLC	FALSE	13742	6	3.88493723981986	0.00160159276266399	264	1.3	12	2744
TM14-07	0	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15632	352	TM-LC	FALSE	15632	1			352	1.2	14	2709
TM14-11	0	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13035	338	PD	FALSE	14078	2	21.5995031892972	3.35938839126188e-06	1078	0.65	20	2672.7
TM14-12	0	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15195	319	PD	FALSE	14078	2	21.5995031892972	3.35938839126188e-06	1078	1.43	21	2679.8
TM14-13	0	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	21057	554	PD	TRUE	14078					0.65	22	2678.9
TM14-15	0	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14366	254	LM	FALSE	14366	1			254	0.87	24	2638.5
TM14-16	0	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	12902	300	LD	FALSE	13922	3	11.3772669882937	1.14529068331445e-05	543	0.98	16	2854.4
TM14-17	0	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14046	267	LD	FALSE	13922	3	11.3772669882937	1.14529068331445e-05	543	0.8	17	2853.5
TM14-18	0	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14834	273	LD	FALSE	13922	3	11.3772669882937	1.14529068331445e-05	543	1.55	18	2858.6
UpLy-12-10	0	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13086	324	ULC	FALSE	13918	3	7.36951164673552	0.000630175852399543	527	0.85	3	3400
C2-Boulder1	100	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15133	344	ULC	FALSE	14984	3	1.06651884357686	0.344204664501906	244	1.8	1	3409
C2-Boulder2	100	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15371	496	ULC	FALSE	14984	3	1.06651884357686	0.344204664501906	244	0.75	2	3417
LoLy-11-08	100	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14465	428	LLC	FALSE	14398	6	0.300964393552801	0.912512690805837	160	2.5	7	2742
TM14-01	100	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15796	448	MLC	FALSE	15796	1			448	0.46	5	2955
TM14-02	100	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14417	380	LLC	FALSE	14398	6	0.300964393552801	0.912512690805837	160	1.1	8	2751
TM14-03	100	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14710	354	LLC	FALSE	14398	6	0.300964393552801	0.912512690805837	160	2.5	9	2740
TM14-04	100	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14280	368	LLC	FALSE	14398	6	0.300964393552801	0.912512690805837	160	0.8	10	2743
TM14-05	100	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14047	452	LLC	FALSE	14398	6	0.300964393552801	0.912512690805837	160	0.82	11	2740
TM14-06	100	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14408	391	LLC	FALSE	14398	6	0.300964393552801	0.912512690805837	160	1.3	12	2744
TM14-07	100	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	16258	441	TM-LC	FALSE	16258	1			441	1.2	14	2709
TM14-11	100	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14392	450	PD	FALSE	15012	2	3.88609929203762	0.048687379366596	570	0.65	20	2672.7
TM14-12	100	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15548	376	PD	FALSE	15012	2	3.88609929203762	0.048687379366596	570	1.43	21	2679.8
TM14-13	100	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	22847	724	PD	TRUE	15012					0.65	22	2678.9
TM14-15	100	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15282	350	LM	FALSE	15282	1			350	0.87	24	2638.5
TM14-16	100	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13892	404	LD	FALSE	14758	3	3.56397844319519	0.0283259072323531	395	0.98	16	2854.4
TM14-17	100	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15123	360	LD	FALSE	14758	3	3.56397844319519	0.0283259072323531	395	0.8	17	2853.5
TM14-18	100	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	15174	331	LD	FALSE	14758	3	3.56397844319519	0.0283259072323531	395	1.55	18	2858.6
UpLy-12-10	100	Int	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14489	428	ULC	FALSE	14984	3	1.06651884357686	0.344204664501906	244	0.85	3	3400
C2-Boulder1	0	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14784	942	ULC	FALSE	13918	3	7.36951164673552	0.000630175852399543	1420	1.8	1	3409
C2-Boulder2	0	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13899	932	ULC	FALSE	13918	3	7.36951164673552	0.000630175852399543	1420	0.75	2	3417
LoLy-11-08	0	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14452	967	LLC	FALSE	13742	6	3.88493723981986	0.00160159276266399	715	2.5	7	2742
TM14-01	0	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14019	882	MLC	FALSE	14019	1			882	0.46	5	2955
TM14-02	0	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13724	873	LLC	FALSE	13742	6	3.88493723981986	0.00160159276266399	715	1.1	8	2751
TM14-03	0	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	14686	940	LLC	FALSE	13742	6	3.88493723981986	0.00160159276266399	715	2.5	9	2740
TM14-04	0	Ext	Monte Carlo Balco	CRONUS-Earth primary	LSDn	ERA40	Lifton2016	13187	827	LLC	FALSE	13742	6	3.88493723981986	0.00160159276266399	715	0.8	10	2743
