Sample_Name	Boulder_Height_m
TM14-12--69	1.40845151915092
TM14-12--70	1.42031801382798
TM14-12--71	1.46020497190679
TM14-12--72	1.42448115576185
TM14-12--73	1.43255266340709
TM14-12--74	1.43112837052317
TM14-12--75	1.44053918229567
TM14-12--76	1.43169739345607
TM14-12--77	1.42114260832995
TM14-12--78	1.44996016774684
TM14-12--79	1.42575874529905
TM14-12--80	1.4423653321249
TM14-12--81	1.44975258120692
TM14-12--82	1.39587080015772
TM14-12--83	1.4277341125512
TM14-12--84	1.43838441374318
TM14-12--85	1.43030194238832
TM14-12--86	1.43902405021813
TM14-12--87	1.43990481051765
TM14-12--88	1.43683616378373
TM14-12--89	1.40853630364298
TM14-12--90	1.46609362835052
TM14-12--91	1.43076143204057
TM14-12--92	1.43888227891501
TM14-12--93	1.42979812904436
TM14-12--94	1.4255742566427
TM14-12--95	1.43607930524141
TM14-12--96	1.42365110663496
TM14-12--97	1.40410097553835
TM14-12--98	1.42190750692278
TM14-12--99	1.43160210613017
TM14-12--100	1.45368413455025
TM14-12--101	1.43574408113205
TM14-12--102	1.46289340862503
TM14-12--103	1.43555659992983
TM14-12--104	1.4099641301542
TM14-12--105	1.41527264722205
TM14-12--106	1.3942448537368
TM14-12--107	1.44867312323855
TM14-12--108	1.41607889537749
TM14-12--109	1.44433866406482
TM14-12--110	1.39387782756819
TM14-12--111	1.41531351221583
TM14-12--112	1.43203796462859
TM14-12--113	1.42019349156241
TM14-12--114	1.40716692982524
TM14-12--115	1.43067401446391
TM14-12--116	1.46443039795118
TM14-12--117	1.42115125529047
TM14-12--118	1.38944133641396
TM14-12--119	1.43376378277158
TM14-12--120	1.43687829762005
TM14-12--121	1.3926075227284
TM14-12--122	1.44829907373013
TM14-12--123	1.39423689817272
TM14-12--124	1.42319443681228
TM14-12--125	1.42525237186182
TM14-12--126	1.45207025970388
TM14-12--127	1.43472464675157
TM14-12--128	1.42689818321027
TM14-12--129	1.41864644898329
TM14-12--130	1.39719358670814
TM14-12--131	1.40193018253556
TM14-12--132	1.42456964111074
TM14-12--133	1.41066181785613
TM14-12--134	1.39414541598459
TM14-12--135	1.43923176868847
TM14-12--136	1.41753968910256
TM14-12--137	1.43879565162063
TM14-12--138	1.44466370894346
TM14-12--139	1.45678545157286
TM14-12--140	1.42885809054621
TM14-12--141	1.39316727590595
TM14-12--142	1.4320688360044
TM14-12--143	1.39533897394382
TM14-12--144	1.39228429658621
TM14-12--145	1.45469187637847
TM14-12--146	1.42090748578463
TM14-12--147	1.44427343257549
TM14-12--148	1.38479293988338
TM14-12--149	1.44324686715681
TM14-12--150	1.43048154286149
TM14-12--151	1.4018634651186
TM14-12--152	1.42889152214834
TM14-12--153	1.44280378676412
TM14-12--154	1.42552314806253
TM14-12--155	1.4289958349593
TM14-12--156	1.4356546850503
TM14-12--157	1.42617253324785
TM14-12--158	1.45640695006226
TM14-12--159	1.44647969728573
TM14-12--160	1.4211411300892
TM14-12--161	1.45187050772002
TM14-12--162	1.44071700848678
TM14-12--163	1.41846459105715
TM14-12--164	1.43383965366905
TM14-12--165	1.43559501587414
TM14-12--166	1.42379504216002
TM14-12--167	1.41194149800512
TM14-12--168	1.43916999555466
TM14-12--169	1.42171628256295
TM14-12--170	1.43633762115626
TM14-12--171	1.45866785256875
TM14-12--172	1.47094638138852
TM14-12--173	1.44040833443612
TM14-12--174	1.39178735867903
TM14-12--175	1.42625181541663
TM14-12--176	1.45110242100177
TM14-12--177	1.4131917771308
TM14-12--178	1.39548960696075
TM14-12--179	1.45541567381814
TM14-12--180	1.43135259163097
TM14-12--181	1.45283340093814
TM14-12--182	1.39876174673276
TM14-12--183	1.43471826782482
TM14-12--184	1.41810293446081
TM14-12--185	1.41301945741383
TM14-12--186	1.42960029052562
TM14-12--187	1.44864677111014
TM14-12--188	1.47642384096417
TM14-12--189	1.42777275464959
TM14-12--190	1.41185075434199
TM14-12--191	1.4414741481457
TM14-12--192	1.43051082426191
TM14-12--193	1.46519847437304
TM14-12--194	1.38573445448574
TM14-12--195	1.42621714597574
TM14-12--196	1.40268313574937
TM14-12--197	1.42653150546687
TM14-12--198	1.42545819750992
TM14-12--199	1.45180951993912
TM14-12--200	1.41649943028778
TM14-12--201	1.42494226637319
TM14-12--202	1.42313548958224
TM14-12--203	1.40533831310677
TM14-12--204	1.42898203549371
TM14-12--205	1.45018305488789
TM14-12--206	1.44276555862301
TM14-12--207	1.40607999437342
TM14-12--208	1.41103999234731
TM14-12--209	1.45234915967476
TM14-12--210	1.44969770037707
TM14-12--211	1.40812187481122
TM14-12--212	1.39700086747289
TM14-12--213	1.42509186125204
TM14-12--214	1.43233730485603
TM14-12--215	1.42859878569075
TM14-12--216	1.44028640826248
TM14-12--217	1.42825331861014
TM14-12--218	1.45472807151546
TM14-12--219	1.41755585525976
TM14-12--220	1.46489913594624
TM14-12--221	1.44599483524571
TM14-12--222	1.43953152212318
TM14-12--223	1.43404318414495
TM14-12--224	1.45619536239725
TM14-12--225	1.46400811691966
TM14-12--226	1.44111725185327
TM14-12--227	1.43810821923618
TM14-12--228	1.43398317768915
TM14-12--229	1.44011728583819
TM14-12--230	1.42281958176742
TM14-12--231	1.40590500607226
TM14-12--232	1.41176176688177
TM14-12--233	1.42098064442011
TM14-12--234	1.43460754393406
TM14-12--235	1.3989255109092
TM14-12--236	1.42929639185408
TM14-12--237	1.43347890386422
TM14-12--238	1.41054764721269
TM14-12--239	1.44550043508558
TM14-12--240	1.43927405719302
TM14-12--241	1.37791262520443
TM14-12--242	1.43106278460835
TM14-12--243	1.43241683301828
TM14-12--244	1.42100610128002
TM14-12--245	1.4608018000262
TM14-12--246	1.43711837192387
TM14-12--247	1.45451511317892
TM14-12--248	1.42583731448713
TM14-12--249	1.41058942055025
TM14-12--250	1.46473570733253
TM14-12--251	1.39620879861877
TM14-12--252	1.43707157648767
TM14-12--253	1.42899242601763
TM14-12--254	1.43032047549636
TM14-12--255	1.47488413739949
TM14-12--256	1.4597627520888
TM14-12--257	1.43985101759752
TM14-12--258	1.43789760803032
TM14-12--259	1.42088637570691
