Date	Year	Month	SWE_Inches	SWE_Code	Snow_Depth_Inches	Snow_Depth_Code
1981-01-16	1981	1	5.3	_		_
1981-01-17	1981	1	5.3	_		_
1981-01-18	1981	1	5.3	_		_
1981-01-19	1981	1	5.3	_		_
1981-01-20	1981	1	5.3	_		_
1981-01-21	1981	1	5.3	_		_
1981-01-22	1981	1	5.3	_		_
1981-01-23	1981	1	5.3	_		_
1981-01-24	1981	1	6.9	_		_
1981-01-25	1981	1	7.4	_		_
1981-01-26	1981	1	7.4	_		_
1981-01-27	1981	1	8	_		_
1981-01-28	1981	1	10.7	_		_
1981-01-29	1981	1	13.3	_		_
1981-01-30	1981	1	14	_		_
1981-01-31	1981	1	15.5	_		_
1981-02-01	1981	2	16.1	_		_
1981-02-02	1981	2	16.1	_		_
1981-02-03	1981	2	16.1	_		_
1981-02-04	1981	2	16.1	_		_
1981-02-05	1981	2	16.1	_		_
1981-02-06	1981	2	16.1	_		_
1981-02-07	1981	2	16.1	_		_
1981-02-08	1981	2	16.1	_		_
1981-02-09	1981	2	16.7	_		_
1981-02-10	1981	2	17.2	_		_
1981-02-11	1981	2	17.2	_		_
1981-02-12	1981	2	17.2	_		_
1981-02-13	1981	2	17.2	_		_
1981-02-14	1981	2	17.8	_		_
1981-02-15	1981	2	18.2	_		_
1981-02-16	1981	2	18.2	_		_
1981-02-17	1981	2	18.1	_		_
1981-02-18	1981	2	18.1	_		_
1981-02-19	1981	2	18	_		_
1981-02-20	1981	2	18	_		_
1981-02-21	1981	2	17.9	_		_
1981-02-22	1981	2	17.9	_		_
1981-02-23	1981	2	17.8	_		_
1981-02-24	1981	2	17.8	_		_
1981-02-25	1981	2	18.7	_		_
1981-02-26	1981	2	19.3	_		_
1981-02-27	1981	2	19.3	_		_
1981-02-28	1981	2	19.3	_		_
1981-03-01	1981	3	19.3	_		_
1981-03-02	1981	3	19.3	_		_
1981-03-03	1981	3	19.3	_		_
1981-03-04	1981	3	19.3	_		_
1981-03-05	1981	3	19.3	_		_
1981-03-06	1981	3	19.3	_		_
1981-03-07	1981	3	19.3	_		_
1981-03-08	1981	3	19.3	_		_
1981-03-09	1981	3	19.2	_		_
1981-03-10	1981	3	19.2	_		_
1981-03-11	1981	3	19.2	_		_
1981-03-12	1981	3	19.2	_		_
1981-03-13	1981	3	19.8	_		_
1981-03-14	1981	3	20.4	_		_
1981-03-15	1981	3	20.4	_		_
1981-03-16	1981	3	20.9	_		_
1981-03-17	1981	3	20.9	_		_
1981-03-18	1981	3	20.9	_		_
1981-03-19	1981	3	21.5	_		_
1981-03-20	1981	3	23.7	_		_
1981-03-21	1981	3	24.7	_		_
1981-03-22	1981	3	25.8	_		_
1981-03-23	1981	3	26.3	_		_
1981-03-24	1981	3	26.3	_		_
1981-03-25	1981	3	26.3	_		_
1981-03-26	1981	3	27.4	_		_
1981-03-27	1981	3	28.5	_		_
1981-03-28	1981	3	29.1	_		_
1981-03-29	1981	3	29.1	_		_
1981-03-30	1981	3	29.1	_		_
1981-03-31	1981	3	29.1	_		_
1981-04-01	1981	4	29.1	_		_
1981-04-02	1981	4	29.1	_		_
1981-04-03	1981	4	29.6	_		_
1981-04-04	1981	4	29.6	_		_
1981-04-05	1981	4	29.6	_		_
1981-04-06	1981	4	29.1	_		_
1981-04-07	1981	4	29.1	_		_
1981-04-08	1981	4	29.1	_		_
1981-04-09	1981	4	28.5	_		_
1981-04-10	1981	4	28.5	_		_
1981-04-11	1981	4	28	_		_
1981-04-12	1981	4	27.4	_		_
1981-04-13	1981	4	26.9	_		_
1981-04-14	1981	4	26.3	_		_
1981-04-15	1981	4	25.8	_		_
1981-04-16	1981	4	25	_		_
1981-04-17	1981	4	24.7	_		_
1981-04-18	1981	4	24.1	_		_
