Speleothem	Years_B1950	d18O
BA04	17590	-7.26
BA04	17639	-7.28
BA04	17688	-7.34
BA04	17737	-7.39
BA04	17786	-7.55
BA04	17836	-7.57
BA04	17885	-7.59
BA04	17934	-7.65
BA04	17983	-7.87
BA04	18032	-7.65
BA04	18081	-7.5
BA04	18130	-7.44
BA04	18179	-7.42
BA04	18228	-7.45
BA04	18277	-7.47
BA04	18327	-7.51
BA04	18376	-7.5
BA04	18425	-7.58
BA04	18474	-7.6
BA04	18523	-7.59
BA04	18572	-7.47
BA04	18621	-7.62
BA04	18670	-7.66
BA04	18719	-7.47
BA04	18768	-7.55
BA04	18818	-7.52
BA04	18867	-7.46
BA04	18916	-7.47
BA04	18965	-7.55
BA04	19014	-7.61
BA04	19063	-7.68
BA04	19112	-7.69
BA04	19161	-7.65
BA04	19210	-7.61
BA04	19259	-7.6
BA04	19309	-7.63
BA04	19358	-7.63
BA04	19407	-7.99
BA04	19456	-7.76
SSC01	19518	-7.68
SSC01	19598	-7.78
SSC01	19677	-7.87
SSC01	19757	-7.81
SSC01	19837	-7.76
SSC01	19916	-7.74
SSC01	19996	-7.72
SSC01	20076	-7.76
SSC01	20156	-7.61
SSC01	20235	-7.94
SSC01	20315	-7.85
SSC01	20395	-7.96
SSC01	20474	-7.65
SSC01	20554	-7.74
SSC01	20634	-7.85
SSC01	20714	-7.88
SSC01	20793	-7.58
SSC01	20873	-7.67
SSC01	20953	-7.53
SSC01	21032	-7.58
SSC01	21112	-7.78
SSC01	21192	-7.44
SSC01	21272	-7.6
SSC01	21351	-7.79
SSC01	21431	-7.63
SSC01	21510	-7.9
SSC01	21586	-7.64
SSC01	21661	-7.44
SSC01	21736	-7.32
SSC01	21812	-7.43
SSC01	21887	-7.64
SSC01	21963	-7.64
SSC01	22038	-7.66
SSC01	22113	-7.65
SSC01	22189	-7.55
SSC01	22264	-7.65
SSC01	22340	-7.81
SSC01	22415	-7.86
SSC01	22490	-7.8
SSC01	22566	-7.75
SSC01	22641	-7.67
SSC01	22717	-7.66
SSC01	22792	-7.67
SSC01	22868	-7.74
SSC01	22943	-7.78
SSC01	23018	-7.66
SSC01	23094	-7.77
SSC01	23169	-7.77
SSC01	23245	-7.67
SSC01	23320	-7.73
SSC01	23395	-7.85
SCH02	23417	-7.93
SCH02	23417	-7.93
SCH02	23514	-7.82
SCH02	23610	-7.74
SCH02	23706	-7.83
SCH02	23803	-7.79
SCH02	23899	-7.88
SCH02	23995	-7.87
SCH02	24092	-7.94
SCH02	24188	-7.8
SCH02	24289	-8.02
SCH02	24430	-7.89
SCH02	24571	-7.94
SCH02	24712	-7.78
SCH02	24853	-7.8
SCH02	24995	-7.67
