depth_mm	Years_B1950	McLean.d13C	McLean.d18O
95.02	14071.9	-11.01	-9.27
95.34	14079.6	-10.72	-9.34
95.66	14087.2	-10.83	-9.3
95.98	14094.9	-10.6	-9.15
96.3	14102.6	-10.65	-8.96
96.62	14110.3	-10.7	-9.01
96.94	14118.1	-10.92	-9.13
97.26	14125.9	-10.94	-8.73
97.58	14133.7	-10.93	-10.22
97.9	14141.5	-11.01	-9.57
98.2	14148.8	-10.65	-10.22
98.28	14150.8	-10.33	-9.92
98.56	14157.7	-10.21	-9.02
98.84	14164.6	-10.22	-9.09
99.12	14171.5	-10.32	-9.12
99.4	14178.4	-10.3	-9.06
99.68	14185.3	-9.97	-8.76
99.96	14192.3	-9.87	-9.01
100.24	14199.3	-9.83	-9.14
100.52	14206.3	-10.62	-9.01
100.8	14213.3	-10.74	-8.99
101.08	14220.3	-10.8	-8.94
101.36	14227.3	-10.66	-9.03
101.64	14234.4	-10.52	-8.83
101.92	14241.4	-10.39	-8.7
102.2	14248.5	-10.22	-8.72
102.48	14255.6	-10.46	-8.8
102.76	14262.7	-10.46	-8.63
103.04	14269.9	-10.45	-8.91
103.32	14277	-10.52	-9.15
103.6	14284.1	-10.62	-9.01
103.88	14291.3	-10.46	-8.87
104.16	14298.5	-10.35	-9.01
104.5	14307.2	-10.2	-8.85
104.8	14315	-10.24	-8.94
105.1	14322.7	-10.21	-8.85
105.4	14330.5	-10.09	-8.79
105.68	14337.7	-10.41	-9.14
105.96	14345	-10.87	-9.6
106.24	14352.2	-10.93	-9.75
106.52	14359.5	-10.8	-9.27
106.8	14366.8	-10.49	-9.18
107.06	14373.6	-10.21	-9.13
107.32	14380.4	-9.93	-9.28
107.58	14387.3	-9.82	-9.27
107.84	14394.1	-9.31	-8.72
108.1	14400.9	-8.94	-8.48
108.38	14408.3	-8.28	-8.66
108.65	14415.4	-8.46	-8.19
108.93	14422.8	-7.44	-8.19
109.2	14430	-6.86	-7.98
109.5	14437.9	-7.5	-8.55
109.78	14445.3	-8.53	-8.55
110.05	14452.5	-8.61	-8.64
110.33	14460	-9.17	-9.23
110.6	14467.2	-8.87	-9.13
110.86	14474.1	-8.82	-8.44
111.12	14481	-8.1	-8.35
111.38	14488	-7.7	-8.08
111.64	14495	-7.4	-8.18
111.9	14501.9	-7.31	-8.21
112.2	14510	-7.44	-8.33
112.7	14523.5	-7.62	-8.14
113.1	14534.3	-6.73	-7.93
113.8	14553.3	-6.48	-7.96
114	14558.8	-5.82	-7.9
114.2	14564.3	-5.65	-8.04
114.7	14578.2	-5.6	-7.65
115	14586.6	-5.3	-7.85
115.2	14592.2	-5.49	-7.63
115.9	14612.2	-5.47	-7.52
116.18	14620.3	-5.25	-7.71
