Years_B1950	Depth_cm	TEXH86	SST_C	BIT_index	Branched_GDGT_conc_ppm
21759.3	3337.5	0.444	14.2	0.03339613	0.08932638
21789.3		0.436	13.73		
21888.2	3361.5	0.449	14.44	0.020142838	1.726806418
22012.4	3393.5	0.41	12.25		
22063.2	3407.5	0.392	11.26		
22086.2	3412.5	0.432	13.51	0.025046506	
22132.1	3422.5	0.434	13.6		
22210.2	3439.5	0.445	14.22	0.01097269	1.231038438
22323	3477.5	0.432	13.53		
22337.8	3482.5	0.442	14.06		
22367.5	3492.5	0.462	15.17	0.0318865	0.868794867
22409.3	3497.5	0.437	13.75		
22451.2	3502.5	0.384	10.8		
22534.8	3512.5	0.477	16.05	0.035924706	0.106942973
22579.6	3517.5	0.438	13.81		
22624.4	3522.5	0.405	11.98	0.014068363	
22669.1	3527.5	0.432	13.51		
22848.3	3547.5	0.431	13.44		
22919.9	3555.5	0.464	15.3	0.020214752	0.562793031
23027.4	3567.5	0.425	13.08		
23072.2	3572.5	0.43	13.38		
23117	3577.5	0.444	14.15	0.032156713	
23161.8	3582.5	0.44	13.94		
23206.5	3587.5	0.421	12.86		
23251.3	3592.5	0.439	13.9		
23296.1	3597.5	0.435	13.68	0.013471324	1.353352733
23339	3607.5	0.415	12.53		
23497.5	3644.5	0.444	14.2		
23573.7	3657.5	0.427	13.2		
23612.2	3662.5	0.441	13.99		
23766.3	3682.5	0.442	14.03		
23804.8	3687.5	0.44	13.96		
23843.3	3692.5	0.432	13.52		
23935.6	3703.5	0.431	13.45		
23971.4	3707.5	0.429	13.34		
24061	3717.5	0.487	16.62	0.02651208	0.14678473
24105.8	3722.5	0.428	13.25		
24150.5	3727.5	0.457	14.91		
24195.3	3732.5	0.422	12.93		
24240.1	3737.5	0.428	13.29	0.01548195	
24339.5	3747.5	0.447	14.33		
24389.2	3752.5	0.429	13.34		
24499.9	3762.5	0.461	15.15		
24573.3	3768.5	0.428	13.25		
24744.4	3782.5	0.491	16.82		
24805.5	3787.5	0.427	13.24		
24940	3798.5	0.458	14.99	0.025782897	0.098709434
24988.9	3802.5	0.431	13.42		
