Depth_m	Age_yrsB1950	CH4_ppb
2421.3390	17289.601	407.58
2422.3380	17313.717	406.55
2424.3360	17362.314	409.08
2425.3360	17387.119	412.00
2426.3360	17411.851	413.70
2427.3370	17436.797	412.19
2428.3360	17462.628	409.40
2429.3360	17487.17	410.22
2430.3370	17513.557	406.00
2431.3370	17537.317	403.52
2432.3370	17563.336	402.79
2434.3380	17613.932	402.49
2435.3380	17639.66	402.42
2436.42	17667.019	394.74
2437.34	17694.006	394.06
2438.339	17719.666	391.18
2439.389	17745.528	393.75
2440.341	17770.694	386.20
2441.34	17799.392	389.84
2442.341	17827.145	380.50
2444.344	17882.646	384.09
2445.341	17908.91	384.10
2446.344	17937.92	385.99
2447.343	17967.457	383.75
2448.344	17994.805	381.84
2449.444	18027.338	383.52
2450.345	18052.845	385.51
2451.342	18083.496	383.94
2452.342	18112.51	383.74
2454.347	18175.078	385.53
2455.347	18204.618	377.76
2456.347	18234.302	378.64
2457.348	18266.601	376.02
2458.347	18297.748	376.10
2459.281	18327.431	375.89
2460.35	18362.202	373.90
2461.349	18393.137	373.79
2462.347	18424.514	378.12
2464.346	18488.567	376.56
2465.344	18522.938	376.55
2466.348	18552.285	377.32
2467.348	18583.934	378.55
2468.247	18612.704	384.36
2469.276	18646.55	381.80
2470.35	18679.313	376.95
2471.399	18712.552	374.57
2472.524	18749.805	379.86
2474.351	18806.555	377.41
2475.351	18838.028	373.32
2476.352	18869.722	374.46
2477.351	18900.881	375.36
2478.352	18932.415	376.92
2479.301	18962.096	378.75
2480.352	18995.686	379.23
2481.349	19026.422	378.12
2482.343	19058.043	376.87
2484.351	19124.57	372.95
2485.35	19154.929	372.78
2486.348	19190.106	375.12
2487.3	19217.182	375.19
2488.341	19251.134	382.87
2489.349	19284.175	387.43
2490.35	19313.757	377.85
2491.299	19345.187	379.13
2492.354	19381.175	386.79
2494.349	19444.612	382.44
2495.517	19482.1	385.80
2496.348	19507.79	386.38
2497.349	19540.125	376.05
2498.349	19570.084	373.76
2499.349	19598.796	372.60
2500.351	19632.795	373.78
2501.3	19665.633	372.09
2502.351	19697.765	371.60
2504.351	19761.254	374.68
2505.351	19794.178	375.52
2506.352	19824.229	374.44
2507.353	19856.181	371.93
2508.252	19885.991	370.69
2509.304	19920.35	370.55
2510.355	19956.56	369.12
2511.355	19988.086	367.60
2512.355	20020.653	371.31
2514.357	20087.215	374.97
2515.504	20123.83	371.33
2516.358	20151.864	374.28
2517.358	20181.711	372.17
2518.358	20215.58	365.71
2519.36	20249.436	366.95
2520.359	20281.781	376.95
2521.361	20314.776	379.06
2522.363	20346.763	374.04
2524.363	20410.645	370.49
2525.418	20445.923	372.99
2526.365	20474.552	374.28
2527.367	20506.376	374.00
2528.415	20538.684	371.15
2529.367	20569.3	368.60
2530.368	20599.942	367.04
2531.368	20634.954	362.27
2532.319	20664.676	363.00
2534.369	20727.999	371.80
2535.412	20763.542	369.53
2536.371	20794.611	369.56
2537.421	20831.544	372.86
2538.663	20871.342	371.65
2539.37	20896.255	372.44
2540.373	20931.002	374.77
2541.373	20966.261	374.03
2542.373	20998.973	372.91
2544.375	21070.536	376.67
2545.375	21103.931	381.04
2546.376	21138.214	380.98
2547.376	21172.8	373.18
2548.432	21209.592	372.19
2549.377	21243.413	370.79
2550.377	21278.371	373.40
2551.377	21311.601	373.66
2552.377	21347.098	376.31
2554.376	21418.643	372.00
2555.377	21453.793	363.53
2557.377	21524.605	363.41
2558.373	21559.788	361.51
