Station_ID	Station_Name	Latitude	Longitude	Elevation_ft	Elevation_m	Jan_Insol_MJperM2	Feb_Insol_MJperM2	Mar_Insol_MJperM2	Apr_Insol_MJperM2	May_Insol_MJperM2	Jun_Insol_MJperM2	Jul_Insol_MJperM2	Aug_Insol_MJperM2	Sep_Insol_MJperM2	Oct_Insol_MJperM2	Nov_Insol_MJperM2	Dec_Insol_MJperM2	River_Basin	Record_Type
CKT	Chilkoot Lake	37.408	-119.480	7450	2270	208.62	286.10	483.34	628.70	767.98	785.27	789.79	693.04	533.30	348.78	222.36	178.23	San Joaquin	MONTHLY
CHM	Chilkoot Meadow	37.410	-119.490	7150	2180	206.15	283.03	478.79	623.26	761.43	778.64	783.10	687.15	528.45	345.20	219.75	175.93	San Joaquin	ONLY_DAILY
HTT	Huntington Lake	37.228	-119.222	7000	2130	197.76	273.44	465.95	610.09	748.37	766.44	770.25	673.59	515.22	334.21	211.18	168.42	San Joaquin	BOTH
CLM	Clover Meadow	37.528	-119.275	7000	2130	202.81	279.64	475.00	620.32	759.66	777.49	781.63	684.47	524.78	341.48	216.46	172.91	San Joaquin	MONTHLY
JCM	Jackass Meadow	37.497	-119.330	6950	2120	199.57	276.05	470.61	616.45	756.43	774.74	778.56	680.68	520.42	337.45	213.15	169.95	San Joaquin	MONTHLY
GRV	Graveyard Meadow	37.465	-119.290	6900	2100	258.81	337.57	534.37	653.78	762.12	764.63	776.47	708.91	578.91	404.23	272.97	224.80	San Joaquin	ONLY_DAILY
PSR	Poison Ridge	37.403	-119.520	6900	2100	164.66	237.97	426.17	581.30	733.37	759.16	758.82	648.39	477.28	295.09	177.59	138.03	San Joaquin	ONLY_DAILY
CHQ	Chiquito Creek	37.498	-119.408	6800	2070	215.56	292.89	488.35	627.42	759.52	773.87	779.65	689.49	536.79	355.73	229.34	184.69	San Joaquin	MONTHLY
PMD	Poison Meadow	37.397	-119.518	6800	2070	238.97	317.18	513.76	642.76	762.37	770.30	779.46	701.24	560.21	382.18	252.99	206.35	San Joaquin	MONTHLY
																			
																			
																			
																			
																			
																			
																			
