Years_B1950	Depth_cm	UK37	SST_C
23161.8	3582.5	0.691	19.61
23206.5	3587.5	0.659	18.63
23251.3	3592.5	0.691	19.6
23296.1	3597.5	0.755	21.56
23317.5	3602.5	0.648	18.29
23339	3607.5	0.687	19.48
23497.5	3644.5	0.771	22.02
23527.5	3651.5	0.77	22.01
23573.7	3657.5	0.686	19.47
23612.2	3662.5	0.669	18.94
23766.3	3682.5	0.66	18.67
23804.8	3687.5	0.624	17.58
23843.3	3692.5	0.693	19.66
23881.9	3697.5	0.727	20.69
23935.6	3703.5	0.714	20.3
23971.4	3707.5	0.7	19.88
24016.2	3712.5	0.716	20.36
24061	3717.5	0.815	23.37
24105.8	3722.5	0.718	20.43
24150.5	3727.5	0.718	20.42
24195.3	3732.5	0.697	19.78
24240.1	3737.5	0.784	22.42
24289.8	3742.5	0.74	21.08
24339.5	3747.5	0.646	18.25
24389.2	3752.5	0.715	20.34
24438.8	3757.5	0.826	23.7
24499.9	3762.5	0.705	20.03
24573.3	3768.5	0.692	19.64
24622.2	3772.5	0.74	21.09
24683.3	3777.5	0.807	23.12
24744.4	3782.5	0.725	20.63
24805.5	3787.5	0.65	18.36
24866.6	3792.5	0.698	19.81
24940	3798.5	0.671	19
24988.9	3802.5	0.689	19.54
