Sample_Name	Boulder_Height_m
LoLy-11-08--159	2.51292882674166
LoLy-11-08--160	2.51055939726287
LoLy-11-08--161	2.47642515716612
LoLy-11-08--162	2.50174475177501
LoLy-11-08--163	2.40615918653443
LoLy-11-08--164	2.38749443990502
LoLy-11-08--165	2.51989027882996
LoLy-11-08--166	2.32875967617955
LoLy-11-08--167	2.68481914380867
LoLy-11-08--168	2.5408345882251
LoLy-11-08--169	2.46025368697782
LoLy-11-08--170	2.65030444065445
LoLy-11-08--171	2.39244154398418
LoLy-11-08--172	2.39881605177651
LoLy-11-08--173	2.31245289631578
LoLy-11-08--174	2.32339759020547
LoLy-11-08--175	2.46470604286907
LoLy-11-08--176	2.59144565957837
LoLy-11-08--177	2.40590954451713
LoLy-11-08--178	2.55818591982192
LoLy-11-08--179	2.51052616709509
LoLy-11-08--180	2.46840178213612
LoLy-11-08--181	2.34789470984292
LoLy-11-08--182	2.76677845305213
LoLy-11-08--183	2.33658082133827
LoLy-11-08--184	2.6127508358458
LoLy-11-08--185	2.56774773012425
LoLy-11-08--186	2.45861785789426
LoLy-11-08--187	2.55246453133004
LoLy-11-08--188	2.42241557274393
LoLy-11-08--189	2.44565312863342
LoLy-11-08--190	2.55812751996114
LoLy-11-08--191	2.70872439934969
LoLy-11-08--192	2.55601153777089
LoLy-11-08--193	2.56858876123865
LoLy-11-08--194	2.73054125802335
LoLy-11-08--195	2.47004453932996
LoLy-11-08--196	2.38949197478196
LoLy-11-08--197	2.32959186027129
LoLy-11-08--198	2.60729983469422
LoLy-11-08--199	2.5851492971751
LoLy-11-08--200	2.66713412580589
LoLy-11-08--201	2.54729419425674
LoLy-11-08--202	2.49847106269092
LoLy-11-08--203	2.42476636198752
LoLy-11-08--204	2.39668014562994
LoLy-11-08--205	2.5768830452674
LoLy-11-08--206	2.43617347379496
LoLy-11-08--207	2.66966301240485
LoLy-11-08--208	2.44537021771828
LoLy-11-08--209	2.34385088634574
LoLy-11-08--210	2.53986014359437
LoLy-11-08--211	2.50499750375952
LoLy-11-08--212	2.58382114071061
LoLy-11-08--213	2.54184854100126
LoLy-11-08--214	2.73029383312029
LoLy-11-08--215	2.36532023861606
LoLy-11-08--216	2.49934551592019
LoLy-11-08--217	2.71579112549583
LoLy-11-08--218	2.45235969710127
LoLy-11-08--219	2.6056796801447
LoLy-11-08--220	2.56755864825161
LoLy-11-08--221	2.69210728051008
LoLy-11-08--222	2.40611172316114
LoLy-11-08--223	2.31472734440224
LoLy-11-08--224	2.46963658375796
LoLy-11-08--225	2.50920545958121
LoLy-11-08--226	2.39174250328069
LoLy-11-08--227	2.31864832795239
LoLy-11-08--228	2.46014273494993
LoLy-11-08--229	2.48030965145756
LoLy-11-08--230	2.72683417271644
LoLy-11-08--231	2.42671790218137
LoLy-11-08--232	2.47940521922346
LoLy-11-08--233	2.52524547595643
LoLy-11-08--234	2.41118062775252
LoLy-11-08--235	2.7300558692655
LoLy-11-08--236	2.70901174557339
LoLy-11-08--237	2.47348208033424
LoLy-11-08--238	2.3914340656995
LoLy-11-08--239	2.48706900019532
LoLy-11-08--240	2.42042556728296
