Sample_Name	Nuclide_and_Mineral	St_Age_yr	St_Interr_yr	St_Exterr_yr	Lm_Age_yr	Lm_Interr_yr	Lm_Exterr_yr	LSDn_Age_yr	LSDn_Interr_yr	LSDn_Exterr_yr	Ag_Age_yr	Ag_Interr_yr	Ag_Exterr_yr
TM14-18--79	Be-10 (qtz)	14792	246	1199	14550	242	1122	14535	242	894	--	--	--
													
TM14-18--80	Be-10 (qtz)	14659	244	1188	14426	240	1112	14413	240	887	--	--	--
													
TM14-18--81	Be-10 (qtz)	14725	245	1193	14487	241	1117	14475	241	890	--	--	--
													
TM14-18--82	Be-10 (qtz)	14609	243	1184	14379	240	1109	14369	239	884	--	--	--
													
TM14-18--83	Be-10 (qtz)	14603	243	1183	14374	239	1108	14364	239	884	--	--	--
													
TM14-18--84	Be-10 (qtz)	14692	245	1190	14457	241	1115	14445	241	889	--	--	--
													
TM14-18--85	Be-10 (qtz)	14660	244	1188	14427	240	1112	14414	240	887	--	--	--
													
TM14-18--86	Be-10 (qtz)	14545	242	1178	14318	239	1104	14307	238	880	--	--	--
													
TM14-18--87	Be-10 (qtz)	14734	246	1194	14497	242	1118	14482	241	891	--	--	--
													
TM14-18--88	Be-10 (qtz)	14705	245	1191	14469	241	1116	14457	241	889	--	--	--
													
TM14-18--89	Be-10 (qtz)	14562	243	1180	14335	239	1105	14325	239	881	--	--	--
													
TM14-18--90	Be-10 (qtz)	14649	244	1187	14417	240	1111	14407	240	886	--	--	--
													
TM14-18--91	Be-10 (qtz)	14592	243	1182	14363	239	1107	14352	239	883	--	--	--
													
TM14-18--92	Be-10 (qtz)	14724	245	1193	14487	241	1117	14472	241	890	--	--	--
													
TM14-18--93	Be-10 (qtz)	14865	248	1204	14621	244	1127	14607	243	899	--	--	--
													
TM14-18--94	Be-10 (qtz)	14671	244	1189	14437	241	1113	14426	240	887	--	--	--
													
TM14-18--95	Be-10 (qtz)	14581	243	1181	14353	239	1107	14342	239	882	--	--	--
													
TM14-18--96	Be-10 (qtz)	14718	245	1192	14481	241	1116	14468	241	890	--	--	--
													
TM14-18--97	Be-10 (qtz)	14824	247	1201	14581	243	1124	14567	243	896	--	--	--
													
TM14-18--98	Be-10 (qtz)	14777	246	1197	14537	242	1121	14521	242	893	--	--	--
													
TM14-18--99	Be-10 (qtz)	14868	248	1205	14623	244	1127	14608	243	899	--	--	--
													
TM14-18--100	Be-10 (qtz)	14531	242	1177	14305	238	1103	14294	238	879	--	--	--
													
TM14-18--101	Be-10 (qtz)	14856	248	1204	14612	243	1127	14596	243	898	--	--	--
													
TM14-18--102	Be-10 (qtz)	14597	243	1183	14368	239	1108	14357	239	883	--	--	--
													
TM14-18--103	Be-10 (qtz)	14730	245	1194	14493	241	1117	14481	241	891	--	--	--
													
TM14-18--104	Be-10 (qtz)	14513	242	1176	14288	238	1101	14278	238	878	--	--	--
													
TM14-18--105	Be-10 (qtz)	14565	243	1180	14338	239	1105	14325	239	881	--	--	--
													
TM14-18--106	Be-10 (qtz)	14833	247	1202	14590	243	1125	14574	243	896	--	--	--
													
TM14-18--107	Be-10 (qtz)	14918	249	1209	14671	244	1131	14657	244	902	--	--	--
													
TM14-18--108	Be-10 (qtz)	14806	247	1200	14564	243	1123	14551	242	895	--	--	--
													
TM14-18--109	Be-10 (qtz)	14864	248	1204	14619	244	1127	14604	243	898	--	--	--
													
TM14-18--110	Be-10 (qtz)	14619	244	1184	14389	240	1109	14379	240	884	--	--	--
													
TM14-18--111	Be-10 (qtz)	14589	243	1182	14361	239	1107	14350	239	883	--	--	--
													
TM14-18--112	Be-10 (qtz)	14801	247	1199	14559	243	1122	14546	242	895	--	--	--
													
TM14-18--113	Be-10 (qtz)	14669	244	1189	14436	241	1113	14423	240	887	--	--	--
													
TM14-18--114	Be-10 (qtz)	14596	243	1183	14367	239	1108	14357	239	883	--	--	--
													
TM14-18--115	Be-10 (qtz)	14744	246	1195	14506	242	1118	14492	241	891	--	--	--
													
TM14-18--116	Be-10 (qtz)	14695	245	1191	14460	241	1115	14448	241	889	--	--	--
													
TM14-18--117	Be-10 (qtz)	14557	243	1179	14330	239	1105	14317	239	881	--	--	--
													
TM14-18--118	Be-10 (qtz)	14880	248	1206	14635	244	1128	14620	244	899	--	--	--
													
TM14-18--119	Be-10 (qtz)	14969	249	1213	14721	245	1135	14707	245	905	--	--	--
													
TM14-18--120	Be-10 (qtz)	14642	244	1186	14410	240	1111	14398	240	886	--	--	--
													
TM14-18--121	Be-10 (qtz)	14753	246	1195	14514	242	1119	14500	242	892	--	--	--
													
TM14-18--122	Be-10 (qtz)	14699	245	1191	14464	241	1115	14452	241	889	--	--	--
													
TM14-18--123	Be-10 (qtz)	14575	243	1181	14348	239	1106	14337	239	882	--	--	--
													
TM14-18--124	Be-10 (qtz)	14637	244	1186	14405	240	1111	14395	240	885	--	--	--
													
TM14-18--125	Be-10 (qtz)	14604	243	1183	14375	240	1108	14366	239	884	--	--	--
													
TM14-18--126	Be-10 (qtz)	14890	248	1207	14645	244	1129	14632	244	900	--	--	--
													
TM14-18--127	Be-10 (qtz)	14809	247	1200	14566	243	1123	14551	242	895	--	--	--
													
TM14-18--128	Be-10 (qtz)	14579	243	1181	14351	239	1106	14340	239	882	--	--	--
													
TM14-18--129	Be-10 (qtz)	14872	248	1205	14627	244	1128	14612	243	899	--	--	--
													
TM14-18--130	Be-10 (qtz)	14594	243	1182	14366	239	1107	14354	239	883	--	--	--
													
TM14-18--131	Be-10 (qtz)	14756	246	1196	14516	242	1119	14501	242	892	--	--	--
													
TM14-18--132	Be-10 (qtz)	14684	245	1190	14449	241	1114	14439	241	888	--	--	--
													
TM14-18--133	Be-10 (qtz)	14601	243	1183	14372	239	1108	14363	239	884	--	--	--
													
TM14-18--134	Be-10 (qtz)	14891	248	1207	14646	244	1129	14632	244	900	--	--	--
													
TM14-18--135	Be-10 (qtz)	14713	245	1192	14477	241	1116	14465	241	890	--	--	--
													
TM14-18--136	Be-10 (qtz)	14590	243	1182	14361	239	1107	14352	239	883	--	--	--
													
TM14-18--137	Be-10 (qtz)	14831	247	1202	14587	243	1125	14571	243	896	--	--	--
													
TM14-18--138	Be-10 (qtz)	14884	248	1206	14638	244	1129	14623	244	900	--	--	--
													
TM14-18--139	Be-10 (qtz)	14953	249	1212	14705	245	1134	14690	245	904	--	--	--
													
