Percentile	Sample_Name	PercentSnow	Age_yr
0.841	UpLy-12-10	20	13413
0.975	UpLy-12-10	20	13732
0.025	C2-Boulder1	30	14238
0.159	C2-Boulder1	30	14502
0.5	C2-Boulder1	30	14793
0.841	C2-Boulder1	30	15103
0.975	C2-Boulder1	30	15412
0.025	C2-Boulder2	30	13191
0.159	C2-Boulder2	30	13566
0.5	C2-Boulder2	30	13972
0.841	C2-Boulder2	30	14396
0.975	C2-Boulder2	30	14820
0.025	LoLy-11-08	30	13632
0.159	LoLy-11-08	30	14023
0.5	LoLy-11-08	30	14437
0.841	LoLy-11-08	30	14858
0.975	LoLy-11-08	30	15272
0.025	LyCy-1	30	11265
0.159	LyCy-1	30	11797
0.5	LyCy-1	30	12362
0.841	LyCy-1	30	12942
0.975	LyCy-1	30	13513
0.025	LyCy-3	30	14232
0.159	LyCy-3	30	14863
0.5	LyCy-3	30	15522
0.841	LyCy-3	30	16186
0.975	LyCy-3	30	16830
0.025	LyCy-4	30	12894
0.159	LyCy-4	30	13627
0.5	LyCy-4	30	14392
0.841	LyCy-4	30	15161
0.975	LyCy-4	30	15907
0.025	LyCy-5	30	14649
0.159	LyCy-5	30	15144
0.5	LyCy-5	30	15665
0.841	LyCy-5	30	16193
0.975	LyCy-5	30	16711
0.025	TM14-01	30	13655
0.159	TM14-01	30	13941
0.5	TM14-01	30	14245
0.841	TM14-01	30	14551
0.975	TM14-01	30	14844
0.025	TM14-02	30	13119
0.159	TM14-02	30	13408
0.5	TM14-02	30	13713
0.841	TM14-02	30	14022
0.975	TM14-02	30	14323
0.025	TM14-03	30	14020
0.159	TM14-03	30	14349
0.5	TM14-03	30	14694
0.841	TM14-03	30	15042
0.975	TM14-03	30	15380
0.025	TM14-04	30	12673
0.159	TM14-04	30	12935
0.5	TM14-04	30	13203
0.841	TM14-04	30	13460
0.975	TM14-04	30	13701
0.025	TM14-05	30	12270
0.159	TM14-05	30	12625
0.5	TM14-05	30	12991
0.841	TM14-05	30	13354
0.975	TM14-05	30	13699
0.025	TM14-06	30	13273
0.159	TM14-06	30	13566
0.5	TM14-06	30	13888
0.841	TM14-06	30	14222
0.975	TM14-06	30	14557
0.025	TM14-07	30	14990
0.159	TM14-07	30	15294
0.5	TM14-07	30	15625
0.841	TM14-07	30	15979
0.975	TM14-07	30	16348
0.025	TM14-11	30	12458
0.159	TM14-11	30	12765
0.5	TM14-11	30	13102
0.841	TM14-11	30	13454
0.975	TM14-11	30	13795
0.025	TM14-12	30	14586
0.159	TM14-12	30	14875
0.5	TM14-12	30	15186
0.841	TM14-12	30	15509
0.975	TM14-12	30	15834
0.025	TM14-13	30	20069
0.159	TM14-13	30	20570
0.5	TM14-13	30	21119
0.841	TM14-13	30	21703
0.975	TM14-13	30	22294
0.025	TM14-15	30	13890
0.159	TM14-15	30	14128
0.5	TM14-15	30	14380
0.841	TM14-15	30	14638
0.975	TM14-15	30	14896
0.025	TM14-16	30	12338
0.159	TM14-16	30	12614
0.5	TM14-16	30	12910
0.841	TM14-16	30	13216
0.975	TM14-16	30	13517
0.025	TM14-17	30	13549
0.159	TM14-17	30	13799
0.5	TM14-17	30	14064
0.841	TM14-17	30	14337
0.975	TM14-17	30	14610
0.025	TM14-18	30	14306
0.159	TM14-18	30	14559
0.5	TM14-18	30	14827
0.841	TM14-18	30	15104
0.975	TM14-18	30	15381
0.025	UpLy-12-10	30	12505
0.159	UpLy-12-10	30	12800
0.5	UpLy-12-10	30	13130
0.841	UpLy-12-10	30	13454
0.975	UpLy-12-10	30	13756
0.025	C2-Boulder1	40	14238
0.159	C2-Boulder1	40	14500
0.5	C2-Boulder1	40	14793
0.841	C2-Boulder1	40	15104
0.975	C2-Boulder1	40	15413
0.025	C2-Boulder2	40	13322
0.159	C2-Boulder2	40	13709
0.5	C2-Boulder2	40	14129
0.841	C2-Boulder2	40	14564
0.975	C2-Boulder2	40	14990
0.025	LoLy-11-08	40	13631
0.159	LoLy-11-08	40	14023
0.5	LoLy-11-08	40	14439
0.841	LoLy-11-08	40	14864
0.975	LoLy-11-08	40	15285
0.025	LyCy-1	40	11592
0.159	LyCy-1	40	12157
0.5	LyCy-1	40	12755
0.841	LyCy-1	40	13366
0.975	LyCy-1	40	13961
0.025	LyCy-3	40	14454
0.159	LyCy-3	40	15101
0.5	LyCy-3	40	15779
0.841	LyCy-3	40	16464
0.975	LyCy-3	40	17129
0.025	LyCy-4	40	13126
0.159	LyCy-4	40	13875
0.5	LyCy-4	40	14657
0.841	LyCy-4	40	15445
0.975	LyCy-4	40	16210
0.025	LyCy-5	40	14867
0.159	LyCy-5	40	15376
0.5	LyCy-5	40	15912
0.841	LyCy-5	40	16457
0.975	LyCy-5	40	16992
0.025	TM14-01	40	13850
0.159	TM14-01	40	14146
0.5	TM14-01	40	14455
0.841	TM14-01	40	14767
0.975	TM14-01	40	15072
0.025	TM14-02	40	13144
0.159	TM14-02	40	13428
0.5	TM14-02	40	13731
0.841	TM14-02	40	14043
0.975	TM14-02	40	14344
0.025	TM14-03	40	14017
0.159	TM14-03	40	14344
0.5	TM14-03	40	14690
0.841	TM14-03	40	15044
0.975	TM14-03	40	15390
0.025	TM14-04	40	12744
0.159	TM14-04	40	13016
0.5	TM14-04	40	13285
0.841	TM14-04	40	13544
0.975	TM14-04	40	13796
0.025	TM14-05	40	12361
0.159	TM14-05	40	12712
0.5	TM14-05	40	13077
0.841	TM14-05	40	13441
0.975	TM14-05	40	13791
0.025	TM14-06	40	13266
0.159	TM14-06	40	13563
0.5	TM14-06	40	13886
0.841	TM14-06	40	14220
0.975	TM14-06	40	14550
0.025	TM14-07	40	15006
0.159	TM14-07	40	15312
0.5	TM14-07	40	15648
0.841	TM14-07	40	16003
0.975	TM14-07	40	16361
0.025	TM14-11	40	12582
0.159	TM14-11	40	12900
0.5	TM14-11	40	13237
0.841	TM14-11	40	13580
0.975	TM14-11	40	13919
0.025	TM14-12	40	14598
0.159	TM14-12	40	14888
0.5	TM14-12	40	15201
0.841	TM14-12	40	15525
0.975	TM14-12	40	15850
0.025	TM14-13	40	20240
0.159	TM14-13	40	20746
0.5	TM14-13	40	21298
0.841	TM14-13	40	21882
0.975	TM14-13	40	22474
0.025	TM14-15	40	13932
0.159	TM14-15	40	14172
0.5	TM14-15	40	14427
0.841	TM14-15	40	14691
0.975	TM14-15	40	14959
0.025	TM14-16	40	12376
0.159	TM14-16	40	12655
0.5	TM14-16	40	12955
0.841	TM14-16	40	13269
0.975	TM14-16	40	13580
0.025	TM14-17	40	13613
0.159	TM14-17	40	13870
0.5	TM14-17	40	14144
0.841	TM14-17	40	14426
0.975	TM14-17	40	14707
0.025	TM14-18	40	14308
0.159	TM14-18	40	14562
0.5	TM14-18	40	14831
0.841	TM14-18	40	15107
0.975	TM14-18	40	15381
0.025	UpLy-12-10	40	12619
0.159	UpLy-12-10	40	12909
0.5	UpLy-12-10	40	13229
0.841	UpLy-12-10	40	13550
0.975	UpLy-12-10	40	13855
0.025	C2-Boulder1	50	14246
0.159	C2-Boulder1	50	14508
0.5	C2-Boulder1	50	14796
0.841	C2-Boulder1	50	15100
0.975	C2-Boulder1	50	15400
0.025	C2-Boulder2	50	13498
0.159	C2-Boulder2	50	13893
0.5	C2-Boulder2	50	14316
0.841	C2-Boulder2	50	14750
0.975	C2-Boulder2	50	15182
0.025	LoLy-11-08	50	13637
0.159	LoLy-11-08	50	14027
0.5	LoLy-11-08	50	14441
0.841	LoLy-11-08	50	14868
0.975	LoLy-11-08	50	15290
0.025	LyCy-1	50	11892
0.159	LyCy-1	50	12470
0.5	LyCy-1	50	13078
0.841	LyCy-1	50	13693
0.975	LyCy-1	50	14290
0.025	LyCy-3	50	14705
0.159	LyCy-3	50	15371
0.5	LyCy-3	50	16070
0.841	LyCy-3	50	16778
0.975	LyCy-3	50	17471
0.025	LyCy-4	50	13356
0.159	LyCy-4	50	14122
0.5	LyCy-4	50	14924
0.841	LyCy-4	50	15733
0.975	LyCy-4	50	16519
0.025	LyCy-5	50	15104
0.159	LyCy-5	50	15627
0.5	LyCy-5	50	16182
0.841	LyCy-5	50	16750
0.975	LyCy-5	50	17313
0.025	TM14-01	50	14064
0.159	TM14-01	50	14373
0.5	TM14-01	50	14699
0.841	TM14-01	50	15032
0.975	TM14-01	50	15365
0.025	TM14-02	50	13183
0.159	TM14-02	50	13472
0.5	TM14-02	50	13776
0.841	TM14-02	50	14087
0.975	TM14-02	50	14387
0.025	TM14-03	50	14008
0.159	TM14-03	50	14339
0.5	TM14-03	50	14687
0.841	TM14-03	50	15037
0.975	TM14-03	50	15376
0.025	TM14-04	50	12866
0.159	TM14-04	50	13130
0.5	TM14-04	50	13401
0.841	TM14-04	50	13673
0.975	TM14-04	50	13938
0.025	TM14-05	50	12451
0.159	TM14-05	50	12826
0.5	TM14-05	50	13210
0.841	TM14-05	50	13588
0.975	TM14-05	50	13949
0.025	TM14-06	50	13312
0.159	TM14-06	50	13605
0.5	TM14-06	50	13927
0.841	TM14-06	50	14271
0.975	TM14-06	50	14618
0.025	TM14-07	50	15025
0.159	TM14-07	50	15334
0.5	TM14-07	50	15676
0.841	TM14-07	50	16041
0.975	TM14-07	50	16412
0.025	TM14-11	50	12752
0.159	TM14-11	50	13073
0.5	TM14-11	50	13415
0.841	TM14-11	50	13771
0.975	TM14-11	50	14134
0.025	TM14-12	50	14597
0.159	TM14-12	50	14888
0.5	TM14-12	50	15201
0.841	TM14-12	50	15525
0.975	TM14-12	50	15851
0.025	TM14-13	50	20434
0.159	TM14-13	50	20950
0.5	TM14-13	50	21517
0.841	TM14-13	50	22119
0.975	TM14-13	50	22718
0.025	TM14-15	50	14005
0.159	TM14-15	50	14254
0.5	TM14-15	50	14519
0.841	TM14-15	50	14793
0.975	TM14-15	50	15067
0.025	TM14-16	50	12463
0.159	TM14-16	50	12752
0.5	TM14-16	50	13062
0.841	TM14-16	50	13378
0.975	TM14-16	50	13682
0.025	TM14-17	50	13725
0.159	TM14-17	50	13996
0.5	TM14-17	50	14285
0.841	TM14-17	50	14578
0.975	TM14-17	50	14868
0.025	TM14-18	50	14317
0.159	TM14-18	50	14570
0.5	TM14-18	50	14838
0.841	TM14-18	50	15114
0.975	TM14-18	50	15387
0.025	UpLy-12-10	50	12830
0.159	UpLy-12-10	50	13113
0.5	UpLy-12-10	50	13423
0.841	UpLy-12-10	50	13746
0.975	UpLy-12-10	50	14074
0.025	C2-Boulder1	60	14261
0.159	C2-Boulder1	60	14524
0.5	C2-Boulder1	60	14812
0.841	C2-Boulder1	60	15127
0.975	C2-Boulder1	60	15444
0.025	C2-Boulder2	60	13672
0.159	C2-Boulder2	60	14086
0.5	C2-Boulder2	60	14527
0.841	C2-Boulder2	60	14979
0.975	C2-Boulder2	60	15430
0.025	LoLy-11-08	60	13629
0.159	LoLy-11-08	60	14017
0.5	LoLy-11-08	60	14432
0.841	LoLy-11-08	60	14863
0.975	LoLy-11-08	60	15291
0.025	LyCy-1	60	12156
0.159	LyCy-1	60	12748
0.5	LyCy-1	60	13365
0.841	LyCy-1	60	13988
0.975	LyCy-1	60	14600
0.025	LyCy-3	60	14948
0.159	LyCy-3	60	15636
0.5	LyCy-3	60	16362
0.841	LyCy-3	60	17099
0.975	LyCy-3	60	17820
0.025	LyCy-4	60	13567
0.159	LyCy-4	60	14348
0.5	LyCy-4	60	15164
0.841	LyCy-4	60	15988
0.975	LyCy-4	60	16789
0.025	LyCy-5	60	15327
0.159	LyCy-5	60	15872
0.5	LyCy-5	60	16450
0.841	LyCy-5	60	17040
0.975	LyCy-5	60	17622
0.025	TM14-01	60	14270
0.159	TM14-01	60	14586
0.5	TM14-01	60	14927
0.841	TM14-01	60	15284
0.975	TM14-01	60	15630
0.025	TM14-02	60	13245
0.159	TM14-02	60	13542
0.5	TM14-02	60	13863
0.841	TM14-02	60	14193
0.975	TM14-02	60	14522
0.025	TM14-03	60	14027
0.159	TM14-03	60	14356
0.5	TM14-03	60	14704
0.841	TM14-03	60	15058
0.975	TM14-03	60	15405
0.025	TM14-04	60	12998
0.159	TM14-04	60	13263
0.5	TM14-04	60	13545
0.841	TM14-04	60	13843
0.975	TM14-04	60	14145
0.025	TM14-05	60	12623
0.159	TM14-05	60	12986
0.5	TM14-05	60	13362
0.841	TM14-05	60	13742
0.975	TM14-05	60	14115
0.025	TM14-06	60	13346
0.159	TM14-06	60	13649
0.5	TM14-06	60	13978
0.841	TM14-06	60	14323
0.975	TM14-06	60	14667
0.025	TM14-07	60	15076
0.159	TM14-07	60	15392
0.5	TM14-07	60	15741
0.841	TM14-07	60	16112
0.975	TM14-07	60	16486
0.025	TM14-11	60	12896
0.159	TM14-11	60	13221
0.5	TM14-11	60	13576
0.841	TM14-11	60	13955
0.975	TM14-11	60	14343
0.025	TM14-12	60	14620
0.159	TM14-12	60	14913
0.5	TM14-12	60	15230
0.841	TM14-12	60	15560
0.975	TM14-12	60	15895
0.025	TM14-13	60	20631
0.159	TM14-13	60	21182
0.5	TM14-13	60	21784
0.841	TM14-13	60	22421
0.975	TM14-13	60	23065
0.025	TM14-15	60	14105
0.159	TM14-15	60	14368
0.5	TM14-15	60	14651
0.841	TM14-15	60	14944
0.975	TM14-15	60	15239
0.025	TM14-16	60	12576
0.159	TM14-16	60	12883
0.5	TM14-16	60	13208
0.841	TM14-16	60	13534
0.975	TM14-16	60	13849
0.025	TM14-17	60	13866
0.159	TM14-17	60	14148
0.5	TM14-17	60	14445
0.841	TM14-17	60	14748
0.975	TM14-17	60	15048
0.025	TM14-18	60	14332
0.159	TM14-18	60	14588
0.5	TM14-18	60	14861
0.841	TM14-18	60	15142
0.975	TM14-18	60	15419
0.025	UpLy-12-10	60	12979
0.159	UpLy-12-10	60	13282
0.5	UpLy-12-10	60	13608
0.841	UpLy-12-10	60	13957
0.975	UpLy-12-10	60	14313
0.025	C2-Boulder1	64	14269
0.159	C2-Boulder1	64	14530
0.5	C2-Boulder1	64	14823
0.841	C2-Boulder1	64	15136
0.975	C2-Boulder1	64	15446
0.025	C2-Boulder2	64	13760
0.159	C2-Boulder2	64	14174
0.5	C2-Boulder2	64	14620
0.841	C2-Boulder2	64	15090
0.975	C2-Boulder2	64	15569
0.025	LoLy-11-08	64	13617
0.159	LoLy-11-08	64	14008
0.5	LoLy-11-08	64	14422
0.841	LoLy-11-08	64	14844
0.975	LoLy-11-08	64	15259
0.025	LyCy-1	64	12290
0.159	LyCy-1	64	12877
0.5	LyCy-1	64	13492
0.841	LyCy-1	64	14115
0.975	LyCy-1	64	14725
0.025	LyCy-3	64	15042
0.159	LyCy-3	64	15737
0.5	LyCy-3	64	16471
0.841	LyCy-3	64	17218
0.975	LyCy-3	64	17951
0.025	LyCy-4	64	13639
0.159	LyCy-4	64	14425
0.5	LyCy-4	64	15248
0.841	LyCy-4	64	16080
0.975	LyCy-4	64	16891
0.025	LyCy-5	64	15406
0.159	LyCy-5	64	15954
0.5	LyCy-5	64	16535
0.841	LyCy-5	64	17126
0.975	LyCy-5	64	17707
0.025	TM14-01	64	14341
0.159	TM14-01	64	14677
0.5	TM14-01	64	15032
0.841	TM14-01	64	15393
0.975	TM14-01	64	15751
0.025	TM14-02	64	13266
0.159	TM14-02	64	13569
0.5	TM14-02	64	13898
0.841	TM14-02	64	14234
0.975	TM14-02	64	14565
0.025	TM14-03	64	14010
0.159	TM14-03	64	14339
0.5	TM14-03	64	14684
0.841	TM14-03	64	15033
0.975	TM14-03	64	15373
0.025	TM14-04	64	13035
0.159	TM14-04	64	13310
0.5	TM14-04	64	13602
0.841	TM14-04	64	13910
0.975	TM14-04	64	14219
0.025	TM14-05	64	12672
0.159	TM14-05	64	13035
0.5	TM14-05	64	13414
0.841	TM14-05	64	13797
0.975	TM14-05	64	14177
0.025	TM14-06	64	13351
0.159	TM14-06	64	13655
0.5	TM14-06	64	13987
0.841	TM14-06	64	14342
0.975	TM14-06	64	14698
0.025	TM14-07	64	15090
0.159	TM14-07	64	15412
0.5	TM14-07	64	15761
0.841	TM14-07	64	16128
0.975	TM14-07	64	16500
0.025	TM14-11	64	12960
0.159	TM14-11	64	13293
0.5	TM14-11	64	13649
0.841	TM14-11	64	14027
0.975	TM14-11	64	14421
0.025	TM14-12	64	14637
0.159	TM14-12	64	14929
0.5	TM14-12	64	15244
0.841	TM14-12	64	15574
0.975	TM14-12	64	15909
0.025	TM14-13	64	20707
0.159	TM14-13	64	21250
0.5	TM14-13	64	21845
0.841	TM14-13	64	22482
0.975	TM14-13	64	23144
0.025	TM14-15	64	14156
0.159	TM14-15	64	14423
0.5	TM14-15	64	14707
0.841	TM14-15	64	15005
0.975	TM14-15	64	15317
0.025	TM14-16	64	12636
0.159	TM14-16	64	12946
0.5	TM14-16	64	13270
0.841	TM14-16	64	13597
0.975	TM14-16	64	13919
0.025	TM14-17	64	13937
0.159	TM14-17	64	14223
0.5	TM14-17	64	14524
0.841	TM14-17	64	14833
0.975	TM14-17	64	15141
0.025	TM14-18	64	14336
0.159	TM14-18	64	14595
0.5	TM14-18	64	14871
0.841	TM14-18	64	15157
0.975	TM14-18	64	15440
0.025	UpLy-12-10	64	13061
0.159	UpLy-12-10	64	13355
0.5	UpLy-12-10	64	13680
0.841	UpLy-12-10	64	14026
0.975	UpLy-12-10	64	14388
0.025	C2-Boulder1	65	14274
0.159	C2-Boulder1	65	14530
0.5	C2-Boulder1	65	14817
0.841	C2-Boulder1	65	15130
