Station_ID	Station_Name	Latitude	Longitude	Elevation_ft	Elevation_m	River_Basin	Record_Type	Month	Insolation_MJperM2	Avg_diff_cm	Avg_diff_SD	Avg_diff_n	Avg_SWE_m	SWE_m_SD	SWE_n	Cor_SWEvsElevation	Cor_SWEvsInsolation	R_squared
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	September	547.62						0	0.0902117095102845	0.37718412070553	0.00403976867041546
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	October	357.25						0	0.665146076526165	0.0475245249724105	0.454910605867191
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	November	228.25						0	0.685296017450218	-0.0332400777694348	0.489425115421562
CBM	Colby Meadow	37.178	-118.72	9700	2960	San Joaquin	MONTHLY	December	183.31						0	0.520576548712945	-0.0638088590520588	0.246458088996122
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	January	206.15				0.369202000650364	0.236094793253931	31	0.226860524027306	0.0164965881632034	0.121184362015554
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	February	283.03				0.582269346960768	0.298706558920874	32	0.212580840916089	0.0624046104174903	0.038777645161961
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	March	478.79				0.767923022380099	0.36502158216439	32	0.193057491557799	0.000970126669397888	0.0286103483667989
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	April	623.26				0.680009529885058	0.44501810850469	29	0.355143053243069	-0.0123946530632691	0.121152586735371
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	May	761.43				0.325484905529954	0.414896671454307	28	0.538642056595992	0.183649261803028	0.538334349925135
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	June	778.64				0.0592324976190477	0.167634245552967	28	0.518287894485839	-0.268750650545776	0.270694396378618
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	July	783.1				0.000732444700460829	0.00354032185745653	28	0.360980358360112	-0.0894020404911492	0.117038051032853
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	August	687.15				8.98647242455776e-05	0.000470852193618997	31	0.374868816434567	-0.0330745193046189	0.141307278897059
CHM	Chilkoot Meadow	37.41	-119.49	7150	2180	San Joaquin	ONLY_DAILY	September	528.45				3.27741935483871e-05	0.000149291158406969	31	0.0902117095102845	0.37718412070553	0.00403976867041546
