Years_B1950	Depth_cm	Opal_percent
19337.3	2653.5	22.3
19353.4	2657.5	12.2
19369.4	2661.5	20.2
19389.4	2666.5	17.2
19409.5	2671.5	16.2
19429.5	2676.5	18.6
19443.9	2684.5	16.1
19457.6	2688.5	14
19475.2	2693.5	15.9
19487.2	2696.5	17
19505.3	2701.5	20.1
19525.3	2706.5	18.2
19549.4	2712.5	23.7
19549.4	2712.5	22.3
19565.4	2716.5	23.1
19605.5	2726.5	26.5
19625.5	2731.5	23.2
19645.6	2736.5	18.1
19665.6	2741.5	21.7
19705.7	2751.5	23.4
19725.7	2756.5	23.8
19745.8	2761.5	23.2
19765.8	2766.5	26.1
19785.8	2771.5	21.1
19805.9	2776.5	18.4
19825.9	2781.5	15.4
19846	2786.5	33.7
19866	2791.5	29.6
19886	2796.5	27.8
19910.1	2802.5	23.6
19926.1	2806.5	25.5
19946.2	2811.5	23.9
19966.2	2816.5	13.7
19986.2	2821.5	21.2
20006.3	2826.5	33.8
20026.3	2831.5	21.5
20046.4	2836.5	26.2
20066.4	2841.5	26.4
20086.4	2846.5	19.5
20106.5	2851.5	15.6
20126.5	2856.5	20.7
20146.6	2861.5	21.9
20166.6	2866.5	27.7
20186.7	2871.5	27.3
20206.7	2876.5	29.1
20236.4	2890.5	19.6
20262	2898.5	13.3
20298.1	2912.5	23.8
20314.1	2916.5	23.3
20334.2	2921.5	23.3
20354.2	2926.5	25.1
20374.2	2931.5	14.3
20394.3	2936.5	19.2
20414.3	2941.5	23.6
20434.4	2946.5	18.5
20464.4	2956.5	14.5
20484.5	2961.5	17.5
20504.5	2966.5	21.1
20524.5	2971.5	16.3
20544.6	2976.5	21.2
20564.6	2981.5	15.8
20584.7	2986.5	19.7
20604.7	2991.5	22.3
20624.7	2996.5	28
20644.8	3001.5	24.5
20664.8	3006.5	19.9
20684.9	3011.5	20.5
20704.9	3016.5	13.6
20733	3041.5	30.8
20761	3062.5	24.9
20789.1	3089.5	33.9
20813.1	3095.5	19.7
20841.2	3102.5	20.2
20857.2	3106.5	15.5
20877.3	3111.5	13.6
20897.3	3116.5	22.9
20917.3	3121.5	20.4
20937.4	3126.5	21.9
20957.4	3131.5	17.9
20977.5	3136.5	17.7
20997.5	3141.5	18.6
21027.5	3146.5	23.5
21057.5	3151.5	19.3
21087.5	3156.5	21.2
21117.5	3161.5	19.3
21141.5	3165.5	21
21180.4	3206.5	31.7
21210.4	3211.5	25.6
21240.4	3216.5	28.4
21267.4	3231.5	13.1
21297.4	3236.5	20.6
21327.4	3241.5	24.8
21357.4	3246.5	21.3
21393.4	3252.5	25.3
21417.4	3256.5	21.4
21447.4	3261.5	26.7
21477.4	3266.5	22.8
21507.4	3271.5	26.1
21531.3	3275.5	22.3
21549.3	3278.5	20.1
21567.3	3281.5	22.9
21597.3	3286.5	22.2
21623.1	3291.5	25.6
21653.1	3296.5	24.6
21693.3	3326.5	21.9
21723.3	3331.5	22.3
21753.3	3336.5	22.8
21783.3	3341.5	20.4
21813.3	3346.5	23
21843.3	3351.5	25
21882.2	3360.5	18.7
21906.2	3364.5	17.5
21948.2	3386.5	27.3
21966.2	3392.5	23.6
21996.2	3397.5	25.2
22050.2	3406.5	26.4
22080.2	3411.5	24.5
22110.2	3416.5	17.7
22140.2	3421.5	36.1
22208.6	3438.5	27.2
22271.5	3476.5	28.3
22301.5	3481.5	21.8
22331.5	3486.5	16.1
22361.5	3491.5	15.7
22391.5	3496.5	15.6
22436.3	3501.5	18.6
22481.1	3506.5	14.2
22525.8	3511.5	15.3
22570.6	3516.5	18.6
22615.4	3521.5	21.2
22660.2	3526.5	15.2
22705	3531.5	15.6
22749.8	3536.5	17.6
22794.5	3541.5	12.7
22973.7	3561.5	9.6
23063.2	3571.5	17
23108	3576.5	15.9
23152.8	3581.5	26.6
23197.6	3586.5	13.3
23242.4	3591.5	12.1
23287.1	3596.5	30
23331.9	3601.5	27.3
23376.7	3606.5	31.3
23412.5	3610.5	25.9
23437.2	3618.5	30.8
23484.2	3643.5	18
23521.8	3650.5	18.7
23553.2	3656	18.2
23606.9	3661.5	16.5
23678.5	3670	29.2
23683	3672.5	17
23705.4	3681.5	22.6
23738.5	3686.5	14.3
23783.3	3691.5	14.8
23828.1	3696.5	17.2
23872.9	3702.5	22.4
23926.6	3706.5	21.1
23962.5	3711.5	27.5
24007.2	3716.5	23
24052	3721.5	25.3
24141.6	3731.5	25.2
24231.2	3741.5	15.5
24275.9	3746.5	21
24320.7	3751.5	21.9
24365.5	3756.5	19.3
24426.6	3761.5	21.7
24487.7	3767.5	18
24561.1	3771.5	12.9
24610	3776.5	19.5
24671.1	3781.5	13.5
24732.2	3786.5	12.7
24793.3	3791.5	7.7
24854.4	3797.5	10.3
24915.5	3801.5	7.7
24927.7	3806.5	11
24976.6	3811.5	7.6
25029.2	3815.5	18.2
25090.3	3822.5	13.3
