Sample_Name	PercentSnow	LSDn_Age_yr	LSDn_Interr_yr	LSDn_Exterr_yr
TM14-05	200	15720	374	1003
TM14-06	200	15866	277	992
TM14-07	200	17987	314	1127
TM14-11	200	16152	322	1022
TM14-12	200	17041	295	1066
TM14-13	200	25610	534	1643
TM14-15	200	16968	266	1040
TM14-16	200	15646	303	975
TM14-17	200	16886	295	1043
TM14-18	200	16732	275	1029
C2-Boulder1	220	17174	234	1059
C2-Boulder2	220	17870	425	1157
UpLy-12-10	220	17039	267	1059
LoLy-11-08	220	15274	376	991
TM14-01	220	18553	311	1143
TM14-02	220	16243	274	1000
TM14-03	220	15473	315	969
TM14-04	220	16318	245	997
TM14-05	220	16080	382	1026
TM14-06	220	16162	282	1011
TM14-07	220	18305	320	1147
TM14-11	220	16484	329	1043
TM14-12	220	17312	300	1083
TM14-13	220	26242	547	1685
TM14-15	220	17330	272	1062
TM14-16	220	15963	309	995
TM14-17	220	17218	301	1064
TM14-18	220	17029	280	1047
C2-Boulder1	240	17533	239	1082
C2-Boulder2	240	18312	436	1186
UpLy-12-10	240	17404	273	1082
LoLy-11-08	240	15474	382	1004
TM14-01	240	18997	318	1170
TM14-02	240	16526	278	1018
TM14-03	240	15678	319	982
TM14-04	240	16599	249	1014
TM14-05	240	16378	389	1045
TM14-06	240	16460	287	1030
TM14-07	240	18631	326	1168
TM14-11	240	16831	336	1066
TM14-12	240	17640	306	1104
TM14-13	240	26760	558	1719
TM14-15	240	17634	276	1081
TM14-16	240	16314	316	1017
TM14-17	240	17553	307	1085
TM14-18	240	17342	285	1066
C2-Boulder1	250	17726	242	1094
C2-Boulder2	250	18519	441	1199
UpLy-12-10	250	17587	276	1094
LoLy-11-08	250	15585	384	1012
TM14-01	250	19179	321	1182
TM14-02	250	16704	281	1029
TM14-03	250	15791	321	989
TM14-04	250	16793	252	1026
TM14-05	250	16523	393	1055
TM14-06	250	16590	289	1038
TM14-07	250	18812	329	1180
TM14-11	250	17004	339	1077
TM14-12	250	17801	308	1114
TM14-13	250	27003	564	1735
TM14-15	250	17757	278	1088
TM14-16	250	16456	318	1026
TM14-17	250	17720	310	1095
TM14-18	250	17491	288	1076
